pid,fgxp,fkicker,dist,good
829284,FG,EP-0512,38,1
829303,XP,MC-3000,33,1
829399,FG,MC-3000,39,1
829432,XP,DB-0200,33,1
829442,XP,DB-0200,33,1
829484,XP,DB-0200,33,1
829531,XP,DB-0200,33,1
829587,XP,JT-3950,33,1
829594,XP,JT-3950,33,1
829605,XP,JT-3950,33,1
829621,XP,JT-3950,33,1
829629,FG,JS-0350,54,1
829638,XP,JT-3950,33,1
829654,XP,JT-3950,33,1
829664,XP,JS-0350,33,1
829685,XP,JT-3950,33,1
829704,FG,JT-3950,34,1
829717,XP,JT-3950,33,1
829751,XP,KV-0250,33,0
829814,FG,KV-0250,45,0
829849,FG,SH-0400,43,1
829866,XP,SH-0400,33,1
829884,XP,SH-0400,33,1
829905,XP,HB-0500,33,1
829916,FG,HB-0500,28,1
829926,XP,JL-0207,33,1
829934,XP,HB-0500,33,1
829945,FG,JL-0207,37,1
829954,FG,HB-0500,25,1
829961,FG,JL-0207,23,1
829973,FG,HB-0500,46,1
830003,XP,HB-0500,33,1
830020,XP,HB-0500,33,1
830041,FG,HB-0500,35,1
830050,XP,JL-0207,33,1
830091,FG,JS-3825,53,0
830098,FG,GZ-2000,49,1
830104,XP,GZ-2000,33,1
830131,FG,GZ-2000,56,1
830140,FG,JS-3825,46,1
830149,FG,GZ-2000,27,1
830159,XP,JS-3825,33,1
830176,XP,GZ-2000,33,1
830186,FG,JS-3825,52,1
830196,XP,JS-3825,33,1
830212,XP,GZ-2000,33,1
830220,FG,GZ-2000,41,0
830230,XP,JS-3825,33,1
830246,XP,AS-0575,33,0
830254,FG,CS-0250,37,1
830288,XP,CS-0250,33,1
830330,FG,CS-0250,53,1
830352,XP,AS-0575,33,1
830355,XP,CS-0250,33,1
830368,XP,CS-0250,33,1
830377,XP,CS-0250,33,1
830395,XP,CS-0250,33,1
830411,XP,DH-3970,33,1
830430,FG,DH-3970,41,1
830447,XP,DH-3970,33,1
830463,XP,JE-0250,33,1
830484,FG,DH-3970,48,1
830498,XP,JE-0250,33,1
830508,XP,JE-0250,33,1
830551,FG,JE-0250,22,1
830571,XP,DH-3970,33,1
830602,FG,RB-4650,39,1
830629,XP,JM-7000,33,1
830634,XP,RB-4650,33,1
830650,XP,JM-7000,33,1
830656,XP,RB-4650,33,1
830674,FG,RB-4650,45,0
830693,XP,JM-7000,33,1
830711,FG,RB-4650,27,1
830758,XP,TL-1062,33,1
830774,XP,AV-0400,33,0
830783,XP,TL-1062,33,1
830798,FG,TL-1062,40,1
830804,FG,AV-0400,46,0
830813,FG,AV-0400,44,1
