pid,fum,frcv,fry,forc
829463,KC-2350,KC-2350,0,
829470,DF-1875,AH-1300,0,TW-1187
829504,KC-2350,GB-0750,0,GJ-0250
829578,JH-4085,JH-4085,0,
829634,JG-2950,JB-3350,0,
829745,JA-1087,SM-2200,0,JJ-1675
829771,SD-0175,,0,
829800,JA-1087,CM-3250,0,
829900,QE-0100,TM-3450,3,
829988,LF-0650,BB-2725,14,DW-4025
830063,DM-2850,CL-0987,3,CL-0987
830101,CN-0500,SE-0025,0,SE-0025
830189,JG-1850,AB-1987,0,
830607,AE-1037,NB-0200,0,BB-3887
830660,CC-0750,DK-0750,11,PB-0750
830663,AD-0100,AW-1900,5,
830670,GB-0350,,0,BM-1250
830733,AD-0100,TF-0725,0,RG-1675
830785,JB-5725,JB-5725,0,
830830,PR-0300,TS-0850,0,KT-0950
830837,DK-0687,GO-0050,0,
830911,MS-4100,CJ-2050,0,CJ-2050
830959,JA-0425,TS-1425,0,
830982,MS-4100,FR-0025,0,TS-3500
831113,SB-0212,EP-0350,0,XW-0200
831213,EM-0200,DL-0450,0,DL-0450
831265,DJ-2275,CA-1350,0,LV-0050
831305,JW-5650,RJ-0850,0,DF-1350
831314,OH-0250,RB-2212,0,FW-0350
831344,DS-0150,CD-0687,6,
831357,JW-5650,JW-5650,0,
831523,BR-1100,RF-0900,0,DW-4150
831558,MP-1900,BR-1100,0,
831711,AK-0050,JC-4300,0,BM-1450
831796,JF-1900,RL-0350,0,BM-0750
831911,RM-2050,RM-2050,0,
831941,RM-2050,DJ-0575,0,
831974,BW-2475,BW-2475,0,
832022,CN-0500,NS-0800,0,AN-0150
832098,KM-3500,KM-3500,0,
832114,MA-1050,MA-1050,0,BB-0550
832159,MS-2050,MY-0100,0,
832346,EM-0200,KZ-0050,0,HP-0050
832608,DH-2450,JC-4050,0,AM-3025
832612,PC-0050,PC-0050,0,
832635,MM-0912,DK-0430,0,DA-2050
832673,JB-5725,HL-0050,0,
832769,GM-1350,BL-1150,0,CO-0850
832793,GM-1350,AC-0250,0,WM-0550
832814,DW-1725,DW-1725,0,
832815,DW-1725,TH-2862,0,
832848,GM-1350,JW-1100,0,WM-0550
832991,AE-0550,DK-0465,0,JT-0687
833074,KC-2350,IS-0275,0,DS-0712
833075,KC-2350,DL-2325,0,KC-1225
833089,GA-0250,HS-0130,0,HS-0130
833097,CB-1152,,0,
833144,AR-1300,HM-0025,0,
833172,CB-1152,CB-1152,0,
833211,SD-0537,TW-2700,0,TW-2700
833351,SM-2625,MF-0550,0,MF-0550
833375,AD-0100,JM-5275,0,
833568,RS-3525,RS-3525,0,
833579,CC-0750,MB-0650,34,TW-1137
833695,RW-3850,DB-6050,11,
833762,DC-0725,,0,CW-0637
833797,JR-2075,JR-2075,0,EO-0075
833845,PM-0025,DW-4750,6,BM-0750
834107,JG-1850,CJ-2400,0,TH-1350
834155,TB-2650,TA-0850,0,CM-0900
834298,CC-2350,SN-0300,0,KS-0750
834324,LS-1900,MS-0150,0,MJ-0600
834521,LB-0250,TC-0385,4,JS-1025
