pid,kicker,kgro,knet,ktb,kr,kry
829262,EP-0512,65,40,1,,0
829285,EP-0512,59,25,0,,0
829304,MC-3000,65,40,1,,0
829340,MC-3000,65,40,1,,0
829400,MC-3000,65,40,1,,0
829424,DB-0200,65,40,1,,0
829433,DB-0200,67,49,0,KB-0350,18
829443,DB-0200,65,40,1,,0
829485,DB-0200,60,35,1,,0
829502,MB-3000,65,40,1,,0
829532,DB-0200,68,42,0,KB-0350,26
829550,MB-3000,49,36,0,CB-1152,13
829575,MB-3000,9,9,0,,0
829578,JS-0350,66,57,0,JH-4085,9
829588,JT-3950,67,44,0,JG-2950,23
829595,JT-3950,65,40,1,,0
829606,JT-3950,65,50,0,JG-2950,15
829622,JT-3950,65,40,1,,0
829630,JS-0350,65,40,1,,0
829639,JT-3950,66,45,0,JG-2950,21
829655,JT-3950,65,40,1,,0
829665,JS-0350,65,40,1,,0
829667,JT-3950,65,40,1,,0
829686,JT-3950,65,40,1,,0
829705,JT-3950,65,40,1,,0
829718,JT-3950,65,40,1,,0
829737,KV-0250,65,40,1,,0
829752,KV-0250,65,40,1,,0
829816,SH-0400,65,40,1,,0
829827,CB-1975,50,40,0,BB-1950,10
829839,KV-0250,65,40,1,,0
829850,SH-0400,65,40,1,,0
829867,SH-0400,65,40,1,,0
829885,SH-0400,65,40,1,,0
829901,JL-0207,67,40,0,MH-0875,27
829906,HB-0500,65,40,1,,0
829917,HB-0500,65,40,1,,0
829927,LC-0875,63,45,0,MH-0875,18
829935,HB-0500,65,40,1,,0
829946,JL-0207,65,40,1,,0
829955,HB-0500,65,40,1,,0
829962,JL-0207,65,40,1,,0
829974,HB-0500,65,40,1,,0
829978,HB-0500,65,40,1,,0
830004,HB-0500,60,43,0,TE-0350,17
830021,HB-0500,65,44,0,TE-0350,21
830030,JL-0207,11,11,0,,0
830042,HB-0500,65,40,1,,0
830051,JL-0207,12,12,0,,0
830057,GZ-2000,65,40,1,,0
830099,GZ-2000,65,40,0,RM-2050,25
830105,GZ-2000,59,33,0,RM-2050,26
830132,GZ-2000,65,40,1,,0
830141,JS-3825,65,40,1,,0
830150,GZ-2000,62,25,0,,0
830160,JS-3825,65,40,1,,0
830177,GZ-2000,65,40,1,,0
830187,JS-3825,65,40,1,,0
830197,JS-3825,65,40,1,,0
830213,GZ-2000,65,40,1,,0
830231,JS-3825,15,15,0,,0
830236,CS-0250,70,38,0,DH-3137,32
830247,AS-0575,59,48,0,DJ-0850,11
830255,CS-0250,70,40,0,DH-3137,30
830289,CS-0250,56,35,0,DH-3137,21
830312,JG-1450,62,39,0,AJ-0050,23
830325,AS-0575,61,44,0,DJ-0850,17
830331,CS-0250,65,40,1,,0
830353,AS-0575,65,40,1,,0
830356,CS-0250,65,40,1,,0
830369,CS-0250,65,40,1,,0
830378,CS-0250,60,37,0,DJ-0887,23
830396,CS-0250,50,25,1,,0
830403,JE-0250,57,45,0,JS-7425,12
830412,DH-3970,65,40,1,,0
830431,DH-3970,65,40,1,,0
830448,DH-3970,65,40,1,,0
830464,JE-0250,65,40,1,,0
830485,DH-3970,65,40,1,,0
830499,JE-0250,65,40,1,,0
830509,JE-0250,53,38,0,AS-0600,15
830524,JE-0250,63,44,0,AS-0600,19
830552,JE-0250,65,40,1,,0
830572,DH-3970,10,10,0,,0
830574,JM-7000,65,40,1,,0
830603,RB-4650,65,40,1,,0
830630,JM-7000,65,40,1,,0
830635,RB-4650,65,40,1,,0
830651,JM-7000,65,40,1,,0
830657,RB-4650,61,40,0,RP-0550,21
830659,RB-4650,65,40,1,,0
830694,JM-7000,65,40,1,,0
830712,RB-4650,65,40,1,,0
830735,RS-0150,69,26,0,DK-0687,43
830759,TL-1062,61,40,0,PC-0050,21
830775,RS-0150,65,40,1,,0
830784,TL-1062,65,40,1,,0
830799,TL-1062,67,44,0,PC-0050,23
830805,TL-1062,65,40,1,,0
830814,RS-0150,65,40,1,,0
830821,TL-1062,65,40,1,,0
830825,RS-0150,65,40,1,,0
830871,RS-0150,65,40,1,,0
830879,RS-0150,65,40,1,,0
830888,ZG-0050,65,40,1,,0
830926,SM-0650,63,49,0,AI-0100,14
830934,SM-0650,58,43,0,AI-0100,15
830952,SM-0650,65,40,1,,0
830964,ZG-0050,65,40,1,,0
830975,SM-0650,65,33,0,AI-0100,32
831002,ZG-0050,57,47,0,JA-0425,10
831015,SM-0650,64,39,0,AI-0100,25
831028,ZG-0050,57,36,0,JA-0425,21
831043,ZG-0050,65,48,0,JA-0425,17
831064,ZG-0050,65,40,1,,0
831070,SM-0650,65,40,1,,0
831078,ZG-0050,65,40,1,,0
831087,SM-0650,65,40,1,,0
831105,AR-1450,65,40,1,,0
831121,AR-1450,65,40,1,,0
831134,BM-0062,65,40,1,,0
831153,BM-0062,65,40,1,,0
831178,BM-0062,65,40,1,,0
831187,BM-0062,68,38,0,CB-0425,30
831199,AR-1450,65,40,1,,0
831204,BM-0062,65,40,1,,0
831222,BM-0062,70,52,0,CB-0425,18
831256,AR-1450,49,49,0,,0
831268,MW-3425,62,41,0,TL-1037,21
831280,MW-3425,65,47,0,TL-1037,18
831322,BP-0750,65,40,1,,0
831337,MW-3425,65,40,1,,0
831346,BP-0750,65,40,1,,0
831356,MW-3425,65,40,1,,0
831360,MW-3425,65,40,1,,0
831373,BP-0750,65,40,1,,0
831408,BP-0750,65,40,1,,0
831417,MW-3425,65,44,0,TL-1037,21
831420,MW-3425,65,40,1,,0
831431,CB-2275,60,45,0,BB-2250,15
831456,SG-0800,65,40,1,,0
831475,SG-0800,61,44,0,RS-3525,17
831496,SG-0800,65,40,1,,0
831512,SG-0800,65,40,1,,0
831514,SG-0800,65,40,1,,0
831527,CB-2275,60,40,0,BB-2250,20
831533,SG-0800,63,37,0,RS-3525,26
831551,SG-0800,65,40,1,,0
831575,SG-0800,65,40,1,,0
831596,WL-0300,65,40,1,,0
831632,KF-0075,65,44,0,DH-1487,21
831644,WL-0300,65,40,1,,0
831666,KF-0075,65,40,1,,0
831674,KF-0075,63,48,0,DH-1487,15
831681,WL-0300,65,40,1,,0
831693,KF-0075,65,40,1,,0
831706,TM-3300,46,34,0,DC-1050,12
831715,WL-0300,65,40,1,,0
831747,WL-0300,65,40,1,,0
831752,KF-0075,65,40,1,,0
831759,BM-1650,66,37,0,DH-1800,29
831772,DC-0450,65,40,1,,0
831814,DC-0450,65,40,1,,0
831830,DC-0450,65,40,1,,0
831843,BM-1650,65,40,1,,0
831858,BM-1650,65,40,1,,0
831876,DC-0450,65,40,1,,0
831883,BM-1650,67,-5,0,DH-1800,72
831890,DC-0450,65,40,1,,0
831900,BM-1650,65,40,1,,0
831906,JS-3825,65,40,1,,0
831927,BP-0750,65,40,1,,0
831936,JS-3825,65,40,1,,0
831962,JS-3825,65,40,1,,0
831981,BP-0750,65,40,1,,0
831991,BP-0750,65,40,1,,0
832008,JS-3825,65,40,1,,0
832017,BP-0750,65,40,1,,0
832039,BP-0750,55,34,0,CH-3350,21
832064,BP-0750,65,40,1,,0
832080,JT-3950,65,40,1,,0
832095,JT-3950,65,42,0,DB-6375,23
832111,ZG-0050,65,40,1,,0
832121,JT-3950,66,51,0,DB-6375,15
832136,ZG-0050,60,38,0,JH-4085,22
832147,JT-3950,44,44,0,DB-6375,0
832165,ZG-0050,65,40,1,,0
832182,ZG-0050,61,22,0,JH-4085,39
832202,JT-3950,65,44,0,DB-6375,21
832209,ZG-0050,65,40,1,,0
832219,JT-3950,65,40,1,,0
832247,SH-0400,65,40,1,,0
832254,AR-1450,65,40,1,,0
832275,SH-0400,66,43,0,CB-0425,23
832293,SH-0400,65,40,1,,0
832308,SH-0400,68,51,0,CB-0425,17
832332,AR-1450,65,40,1,,0
832377,AR-1450,65,40,1,,0
832394,SH-0400,65,40,1,,0
832421,BM-0062,65,40,1,,0
832455,DH-3970,65,40,1,,0
832477,BM-0062,65,40,1,,0
832496,BM-0062,66,46,0,SS-1537,20
832498,DH-3970,65,40,1,,0
832510,BM-0062,65,40,1,,0
832524,DH-3970,65,40,1,,0
832538,BM-0062,65,40,1,,0
832556,BM-0062,65,40,1,,0
832570,DH-3970,63,52,0,RC-1500,11
832577,RS-0150,63,37,0,DJ-0850,26
832591,RS-0150,65,40,1,,0
832612,CS-0250,66,45,0,PC-0050,21
832629,RS-0150,65,40,1,,0
