uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
105457,5058,AJ-1143,0,0,0,0,0,13,4,39,0,1,1,0,0,0,0,0,0,0,0,38,3.9,4.4,4.9,1,3,2019,GB,RB,33,1
105458,5058,AR-1300,30,18,203,0,1,3,0,8,0,0,0,0,0,0,0,0,0,5,0,64,12.92,12.92,12.92,1,15,2019,GB,QB,12,1
105459,5058,TC-1975,0,0,0,0,0,0,0,0,0,10,8,49,0,7,36,0,0,0,0,51,4.9,8.9,12.9,1,3,2019,CHI,RB,29,1
105460,5058,MD-0150,0,0,0,0,0,5,2,19,0,7,6,17,0,0,0,0,0,0,0,41,3.6,6.6,9.6,1,5,2019,CHI,RB,25,1
105461,5058,MT-1800,45,26,228,1,0,3,1,11,0,0,0,0,0,0,0,0,0,0,0,73,8.22,9.22,9.22,1,3,2019,CHI,QB,10,1
105462,5058,AR-1250,0,0,0,0,0,0,0,0,0,13,7,102,0,0,0,0,0,0,0,70,10.2,13.7,20.2,1,6,2019,CHI,LWR,12,1
105463,5058,TD-0737,0,0,0,0,0,0,0,0,0,1,1,28,0,5,1,0,0,5,0,19,2.8,3.3,3.8,1,4,2019,GB,LWR,11,3
105464,5058,JG-2900,0,0,0,0,0,0,0,0,0,6,3,30,1,0,0,0,0,0,0,35,9,10.5,12,1,10,2019,GB,TE,80,1
105465,5058,DM-2787,0,0,0,0,0,6,3,18,0,1,1,27,0,0,0,0,0,0,0,28,4.5,5,5.5,1,1,2019,CHI,RB,32,2
105466,5058,DA-0212,0,0,0,0,0,0,0,0,0,8,4,36,0,0,0,0,0,0,0,62,3.6,5.6,7.6,1,6,2019,GB,LWR,17,1
105467,5058,AS-0775,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,34,0.6,1.1,1.6,1,3,2019,CHI,TE,87,2
105468,5058,TG-0025,0,0,0,0,0,0,0,0,0,5,2,24,0,0,0,0,0,10,0,67,2.4,3.4,4.4,1,6,2019,CHI,RWR,18,1
105469,5058,CP-0750,0,0,0,0,0,1,0,-2,0,3,1,3,0,0,0,0,0,0,0,20,0.1,0.6,1.1,1,7,2019,CHI,RWR,84,2
105470,5058,MV-0012,0,0,0,0,0,1,0,0,0,6,4,52,0,0,0,0,0,0,0,42,5.2,7.2,9.2,1,2,2019,GB,RWR,83,1
105471,5058,ML-1500,0,0,0,0,0,0,0,0,0,3,2,14,0,0,0,0,0,0,0,34,1.4,2.4,3.4,1,14,2019,GB,TE,89,2
105472,5058,JW-3650,0,0,0,0,0,5,1,0,0,2,2,15,0,0,0,0,0,0,0,26,1.5,2.5,3.5,1,3,2019,GB,RB,30,2
105473,5058,JW-5475,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,1,2,2019,CHI,LWR,83,2
105474,5058,RT-1250,0,0,0,0,0,0,0,0,0,1,1,28,0,0,0,0,0,0,0,20,2.8,3.3,3.8,1,3,2019,GB,TE,85,3
105475,5058,AM-1975,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,1,2,2019,CHI,SWR,17,1
105476,5059,MR-2500,46,33,304,2,2,2,1,24,0,0,0,0,0,0,0,0,0,0,0,78,18.56,20.56,23.56,1,12,2019,ATL,QB,2,1
105477,5059,DF-1875,0,0,0,0,0,8,2,19,0,4,3,12,0,0,0,0,1,0,0,39,1.1,2.6,5.1,1,6,2019,ATL,RB,24,1
105478,5059,KR-1200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,53,0,0,0,1,9,2019,MIN,TE,82,1
105479,5059,KC-2350,10,8,98,0,1,6,3,4,1,0,0,0,0,0,0,0,0,0,0,53,14.32,14.32,14.32,1,8,2019,MIN,QB,8,1
105480,5059,DC-3550,0,0,0,0,0,21,9,111,2,2,2,9,0,0,0,0,0,0,0,36,24,25,29,1,3,2019,MIN,RB,33,1
105481,5059,AT-0350,0,0,0,0,0,0,0,0,0,3,3,43,1,0,0,0,0,0,0,47,10.3,11.8,13.3,1,7,2019,MIN,LWR,19,1
105482,5059,KB-0350,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90,0,0,0,0,0,0,0,0,1,7,2019,ATL,RB,38,3
105483,5059,JJ-4700,0,0,0,0,0,0,0,0,0,11,6,31,1,0,0,0,0,0,0,53,9.1,12.1,15.1,1,9,2019,ATL,LWR,11,1
105484,5059,JH-1350,0,0,0,0,0,0,0,0,0,5,4,41,0,0,0,0,0,0,0,22,4.1,6.1,8.1,1,5,2019,ATL,RWR,14,2
105485,5059,RG-0025,0,0,0,0,0,1,0,-1,0,2,1,13,0,0,0,0,0,5,0,13,1.2,1.7,2.2,1,2,2019,ATL,LWR,83,3
