pid,psr,trg,loc,yds,comp,succ,spk,dfb
829264,AR-1300,AJ-1143,SL,0,1,0,0,
829269,MT-1800,AR-1250,SL,0,0,0,0,PS-0550
829271,MT-1800,TC-1975,SL,0,0,0,0,
829275,AR-1300,JG-2900,SR,0,0,0,0,
829283,MT-1800,TC-1975,SR,1,1,0,0,
829286,AR-1300,DA-0212,SM,0,0,0,0,PA-0300
829287,AR-1300,DA-0212,SR,5,1,0,0,
829288,AR-1300,DA-0212,SL,0,0,0,0,
829291,MT-1800,AR-1250,SM,5,1,0,0,
829293,MT-1800,AS-0775,SM,6,1,1,0,
829295,MT-1800,TG-0025,SM,0,0,0,0,JA-0475
829297,MT-1800,CP-0750,DL,0,0,0,0,KK-0750
829299,AR-1300,MV-0012,DM,47,1,1,0,
829300,AR-1300,ML-1500,SM,9,1,1,0,
829301,AR-1300,DA-0212,SR,10,1,1,0,
829302,AR-1300,JG-2900,SR,8,1,1,0,
829305,MT-1800,AR-1250,DL,27,1,1,0,
829306,MT-1800,AR-1250,SM,0,0,0,0,TW-2700
829307,MT-1800,TC-1975,SM,9,1,1,0,
829310,AR-1300,MV-0012,SR,9,1,1,0,
829311,AR-1300,MV-0012,SR,1,1,1,0,
829314,AR-1300,DA-0212,SL,11,1,1,0,
829315,AR-1300,JW-3650,SL,5,1,1,0,
829319,MT-1800,AR-1250,SL,9,1,1,0,
829320,MT-1800,MD-0150,SM,7,1,1,0,
829323,MT-1800,TC-1975,SR,7,1,0,0,
829324,MT-1800,AR-1250,SM,0,0,0,0,DS-0712
829327,AR-1300,DA-0212,DR,0,0,0,0,BS-2300
829328,AR-1300,JW-3650,SL,10,1,1,0,
829329,AR-1300,JG-2900,SR,6,1,1,0,
829330,AR-1300,DA-0212,SR,0,0,0,0,KF-0500
829331,AR-1300,MV-0012,DL,0,0,0,0,
829334,MT-1800,CP-0750,SL,3,1,0,0,
829336,MT-1800,MD-0150,SR,-1,1,0,0,
829338,AR-1300,JG-2900,SM,16,1,1,0,
829339,AR-1300,JG-2900,DR,0,0,0,0,KF-0500
829342,MT-1800,JW-5475,SM,0,0,0,0,
829343,MT-1800,MD-0150,SR,2,1,0,0,
829348,AR-1300,,NL,0,0,0,0,
829349,AR-1300,ML-1500,SM,5,1,0,0,
829359,AR-1300,MV-0012,SL,-5,1,0,0,
829361,MT-1800,AR-1250,DL,22,1,1,0,
829363,MT-1800,DM-2787,DL,27,1,1,0,
829364,MT-1800,TC-1975,SL,5,1,1,0,
829365,MT-1800,AR-1250,DR,0,0,0,0,TW-2700
829367,MT-1800,CP-0750,SR,0,0,0,0,
829372,AR-1300,DA-0212,SR,10,1,1,0,
829375,AR-1300,,NL,0,0,0,0,
829376,AR-1300,JG-2900,DL,0,0,0,0,PA-0300
829378,MT-1800,,NL,0,0,0,0,
829379,MT-1800,AR-1250,SM,14,1,1,0,
829380,MT-1800,TG-0025,SR,15,1,1,0,
829384,MT-1800,TC-1975,SR,0,0,0,0,
829385,MT-1800,AR-1250,DM,0,0,0,0,
829386,MT-1800,TG-0025,SR,9,1,0,0,
829389,AR-1300,TD-0737,DR,28,1,1,0,
829392,AR-1300,RT-1250,DM,28,1,1,0,
829393,AR-1300,ML-1500,SL,0,0,0,0,
829401,MT-1800,TC-1975,SM,6,1,1,0,
829402,MT-1800,AR-1250,SM,4,1,1,0,
829403,MT-1800,MD-0150,SR,5,1,1,0,
829404,MT-1800,TC-1975,SL,9,1,1,0,
829405,MT-1800,TG-0025,SR,0,0,0,0,
829406,MT-1800,TG-0025,DR,0,0,0,0,
829407,MT-1800,AR-1250,DM,21,1,1,0,
829408,MT-1800,MD-0150,SR,2,1,0,0,
829409,MT-1800,TC-1975,SM,7,1,1,0,
829410,MT-1800,TC-1975,SM,5,1,1,0,
829411,MT-1800,MD-0150,SR,0,0,0,0,RG-1818
829412,MT-1800,AS-0775,SR,0,0,0,0,JA-0475
829413,MT-1800,AR-1250,DL,0,0,0,0,
829415,AR-1300,MV-0012,SR,0,0,0,0,
829418,MT-1800,MD-0150,SR,2,1,0,0,
829419,MT-1800,AM-1975,DL,0,0,0,0,
829420,MT-1800,JW-5475,SM,0,0,0,0,
829430,KC-2350,DC-3550,SL,8,1,1,0,
829431,KC-2350,AT-0350,SL,23,1,1,0,
829437,MR-2500,JJ-4700,SM,0,0,0,0,
829438,KC-2350,DC-3550,SL,1,1,0,0,
829440,KC-2350,,NL,0,0,0,0,
829445,MR-2500,JH-1350,SM,3,1,0,0,
829447,MR-2500,,NL,0,0,0,0,
829448,MR-2500,JH-1350,SL,5,1,0,0,
829449,MR-2500,JJ-4700,SL,6,1,1,0,
829451,MR-2500,JH-1350,SL,23,1,1,0,
829453,MR-2500,JJ-4700,SL,2,1,0,0,
829454,MR-2500,JJ-4700,DR,0,0,0,0,
829455,MR-2500,RG-0025,DL,0,0,0,0,HS-0130
829458,KC-2350,SD-0537,SR,6,1,1,0,
829466,MR-2500,MS-0150,SM,14,1,1,0,
829467,MR-2500,CR-0862,DL,20,1,1,0,
829473,KC-2350,CB-1152,SR,9,1,1,0,
