gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,eps,epa
5058,829262,"E.Pineiro kicks 65 yards from CHI 35 to end zone, Touchback.",GB,CHI,KOFF,0,6,1,15,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP-0512,65,40,Y,,,0,0
5058,829263,(15:00) A.Jones left tackle to GB 25 for no gain (R.Smith).,GB,CHI,RUSH,1,35,1,15,0,0,0,3,3,1,10,25,2,0,,,,,,AJ-1143,,LT,RS-2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,-0.62
5058,829264,(14:33) A.Rodgers pass short left to A.Jones to GB 25 for no gain (R.Smith).,GB,CHI,PASS,2,48,1,14,33,0,0,3,3,2,10,25,2,0,,,,,,,,,,,AR-1300,Y,,SL,AJ-1143,,RS-2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,-0.62
5058,829265,"(13:45) (Shotgun) A.Rodgers sacked at GB 15 for -10 yards (R.Robertson-Harris). Penalty on GB-L.Taylor, Offensive Holding, declined.",GB,CHI,PASS,3,30,1,13,45,0,0,3,3,3,10,25,2,-10,,,Y,,,,,,,,AR-1300,,,,,,,,RR-0850,,GB,LT-0150,Offensive Holding,2,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,-2.19
5058,829266,"(13:15) (Punt formation) J.Scott punts 53 yards to CHI 32, Center-H.Bradley. T.Cohen pushed ob at CHI 43 for 11 yards (A.Amos).",CHI,GB,PUNT,0,14,1,13,15,0,0,3,3,4,20,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS-1250,53,42,,TC-1975,11,,,,,,,,-2.55,0.31
5058,829267,"(13:01) (Shotgun) T.Cohen FUMBLES (Aborted) at CHI 37, and recovers at CHI 39. PENALTY on GB-K.Clark, Defensive Holding, 5 yards, enforced at CHI 43 - No Play.",CHI,GB,NOPL,0,28,1,13,1,0,0,3,3,1,10,43,3,,,,,,,,,,,,,,,,,,,,,,GB,KC-1225,Defensive Holding,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.33
5058,829268,(12:33) (Shotgun) M.Davis left guard to GB 47 for 5 yards (K.Clark; D.Lowry).,CHI,GB,RUSH,1,35,1,12,33,0,0,3,3,1,10,48,3,5,Y,,Y,,,MD-0150,,LG,DL-2325,KC-1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,0.03
5058,829269,(11:58) (Shotgun) M.Trubisky pass incomplete short left to A.Robinson (P.Smith).,CHI,GB,PASS,2,4,1,11,58,0,0,3,3,2,5,53,3,,,,Y,,,,,,,,MT-1800,,,SL,AR-1250,PS-0550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,-0.6
5058,829270,(11:54) (Shotgun) M.Trubisky scrambles right tackle to GB 40 for 7 yards (R.Greene).,CHI,GB,RUSH,3,42,1,11,54,0,0,3,3,3,5,53,3,7,Y,Y,Y,,,MT-1800,,RT,RG-1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.29
5058,829271,(11:12) (Shotgun) M.Trubisky pass incomplete short left to T.Cohen.,CHI,GB,PASS,4,5,1,11,12,0,0,3,3,1,10,60,4,,,,Y,,,,,,,,MT-1800,,,SL,TC-1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,-0.62
