uid,pid,ptm,pen,desc,cat,pey,act
75269,829265,GB,LT-0150,Offensive Holding,2,0,D
75270,829267,GB,KC-1225,Defensive Holding,5,5,A
75271,829278,GB,TB-3150,Player Out of Bounds on Kick,8,5,A
75272,829289,CHI,JI-1000,Offensive Holding,2,4,A
75273,829292,GB,TW-2700,Defensive Pass Interference,5,6,A
75274,829302,CHI,,Defensive Too Many Men on Field,8,0,D
75275,829308,CHI,JD-0075,Offensive Holding,2,0,D
75276,829321,CHI,KL-1350,Offensive Holding,2,10,A
75277,829332,GB,AR-1300,False Start,1,5,A
75278,829346,GB,DB-0350,Offensive Holding,2,10,A
75279,829347,CHI,RS-2250,Defensive Pass Interference,5,38,A
75280,829350,GB,DB-0350,Offensive Holding,2,10,A
75281,829362,CHI,,Delay of Game,3,5,A
75282,829366,CHI,,Delay of Game,3,5,A
75283,829374,GB,TD-0737,False Start,1,5,A
75284,829376,GB,BB-3700,Offensive Holding,2,0,D
75285,829379,GB,TW-2700,Unnecessary Roughness,6,15,A
75286,829381,CHI,CL-0862,Offensive Holding,2,10,A
75287,829382,CHI,CL-0862,Illegal Use of Hands,2,10,A
75288,829383,CHI,TG-0025,Offensive Pass Interference,2,10,A
75289,829387,GB,TB-3150,Illegal Blindside Block,8,5,A
75290,829391,GB,,Delay of Game,3,5,A
75291,829395,CHI,KF-0500,Illegal Contact,5,5,A
75292,829417,CHI,DS-1780,Offensive Holding,2,10,A
75293,829429,MIN,KR-1200,Offensive Holding,2,10,A
75294,829436,MIN,EG-0900,Neutral Zone,4,5,A
75295,829446,MIN,HM-0025,Neutral Zone,4,5,A
75296,829453,ATL,CL-0962,Illegal Block Above the Waist,7,10,A
75297,829461,MIN,RR-0250,Illegal Block Above the Waist,7,10,A
75298,829469,MIN,AB-0650,Defensive Offside,4,5,A
75299,829474,ATL,IO-0150,Defensive Pass Interference,5,15,A
75300,829477,ATL,DC-0325,Defensive Holding,5,5,A
75301,829483,ATL,RG-0025,Neutral Zone,4,5,A
75302,829492,ATL,JC-1000,Offensive Holding,2,10,A
75303,829514,MIN,SS-2750,Neutral Zone,4,5,A
75304,829522,MIN,TW-1187,Defensive Pass Interference,5,26,A
75305,829522,MIN,TW-1187,Illegal Use of Hands,5,0,D
75306,829528,ATL,DC-0325,Lowering the Head to Initiate Contact,8,15,A
75307,829529,ATL,KN-0125,Lowering the Head to Initiate Contact,8,8,A
75308,829557,MIN,,Delay of Game,3,5,A
75309,829558,MIN,KB-1675,Kick Catch Interference,8,15,A
75310,829559,ATL,CR-0862,False Start,1,5,A
75311,829564,MIN,KB-1675,Defensive Pass Interference,5,9,A
75312,829567,MIN,SW-0600,Illegal Use of Hands,5,5,A
75313,829567,MIN,SW-0600,Unnecessary Roughness,6,0,D
75314,829572,MIN,HM-0025,Illegal Use of Hands,5,0,D
75315,829575,ATL,MB-3000,Illegal Touch Kick,3,5,A
75316,829593,MIA,MF-0550,Illegal Use of Hands,5,0,D
75317,829617,MIA,ER-0475,Defensive Holding,5,5,A
75318,829618,MIA,AM-2975,Defensive Holding,5,5,A
75319,829627,MIA,JD-0850,False Start,1,5,A
75320,829637,MIA,MF-0550,Defensive Holding,5,0,D
75321,829639,MIA,CL-0212,Offensive Holding,2,10,A
75322,829652,MIA,JW-5450,Defensive Holding,5,4,A
75323,829656,BAL,TW-2350,Roughing the Passer,6,15,A
75324,829670,MIA,JG-2950,Illegal Motion,3,5,A
75325,829677,MIA,CH-1450,Neutral Zone,4,5,A
75326,829681,BAL,RS-2650,Offensive Holding,2,10,A
75327,829688,MIA,DI-0300,Offensive Holding,2,0,D
75328,829691,MIA,JD-0350,Offensive Holding,2,10,A
75329,829697,BAL,RS-2650,Offensive Holding,2,10,A
75330,829700,MIA,BM-0775,Lowering the Head to Initiate Contact,8,15,A
75331,829718,BAL,AL-0650,Illegal Formation,3,5,A
75332,829740,NYJ,DR-1950,Neutral Zone,4,5,A
75333,829755,NYJ,TJ-2250,Face Mask,6,15,A
75334,829759,BUF,JF-0950,False Start,1,5,A
75335,829762,BUF,JF-0950,Unsportsmanlike Conduct,6,15,A
75336,829764,NYJ,BW-2670,Offensive Holding,2,2,A
75337,829769,NYJ,JB-2950,Illegal Block Above the Waist,7,10,A
75338,829774,NYJ,DR-1950,Defensive Holding,5,5,A
75339,829795,BUF,MM-5350,Ineligible Downfield Pass,3,5,A
75340,829817,BUF,JH-5900,Neutral Zone,4,5,A
75341,829823,NYJ,RK-0100,Illegal Use of Hands,2,0,D
75342,829831,BUF,JP-2850,Roughing the Passer,6,15,A
75343,829835,NYJ,QE-0100,Offensive Pass Interference,2,10,A
75344,829840,NYJ,BK-0150,Defensive Holding,5,5,A
75345,829844,NYJ,HA-0400,Roughing the Passer,6,15,A
75346,829881,BUF,TN-0650,False Start,1,5,A
75347,829883,NYJ,DR-1950,Defensive Pass Interference,5,0,D
75348,829890,BUF,JH-5900,Illegal Use of Hands,5,5,A
75349,829894,NYJ,KB-0750,Offensive Holding,2,0,D
75350,829919,JAC,AC-0250,Offensive Holding,2,10,A
75351,829921,KC,JT-2650,Lowering the Head to Initiate Contact,8,15,A
75352,829928,KC,,Illegal Formation,3,5,A
75353,829941,JAC,JT-0950,Offensive Holding,2,10,A
75354,829952,JAC,MJ-0015,Disqualification,6,0,O
