gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,eps,epa
5058,829262,GB,CHI,KOFF,0,6,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5058,829263,GB,CHI,RUSH,1,35,1,15,0,0,0,3,3,1,10,25,2,0,0,0,0,1,0,0,0,0,0,0,0.88,-0.62
5058,829264,GB,CHI,PASS,2,48,1,14,33,0,0,3,3,2,10,25,2,0,0,0,0,1,0,0,0,0,0,0,0.26,-0.62
5058,829265,GB,CHI,PASS,3,30,1,13,45,0,0,3,3,3,10,25,2,0,1,0,0,0,1,1,0,0,0,0,-0.36,-2.19
5058,829266,CHI,GB,PUNT,0,14,1,13,15,0,0,3,3,4,20,15,1,0,0,0,0,0,0,0,0,0,0,0,-2.55,0.31
5058,829267,CHI,GB,NOPL,0,28,1,13,1,0,0,3,3,1,10,43,3,0,0,0,0,0,0,1,0,0,0,0,2.24,0.33
5058,829268,CHI,GB,RUSH,1,35,1,12,33,0,0,3,3,1,10,48,3,0,1,0,0,1,0,0,0,0,0,0,2.57,0.03
5058,829269,CHI,GB,PASS,2,4,1,11,58,0,0,3,3,2,5,53,3,0,1,0,0,0,0,0,0,0,0,0,2.6,-0.6
5058,829270,CHI,GB,RUSH,3,42,1,11,54,0,0,3,3,3,5,53,3,1,1,0,0,1,0,0,0,0,0,0,2,1.29
5058,829271,CHI,GB,PASS,4,5,1,11,12,0,0,3,3,1,10,60,4,0,1,0,0,0,0,0,0,0,0,0,3.29,-0.62
5058,829272,CHI,GB,RUSH,5,42,1,11,7,0,0,3,3,2,10,60,4,0,1,0,0,1,0,0,0,0,0,0,2.67,-0.62
5058,829273,CHI,GB,PASS,6,38,1,10,25,0,0,3,3,3,9,61,4,0,1,0,0,0,1,0,0,0,0,0,2.05,-1.57
5058,829274,GB,CHI,PUNT,0,8,1,9,47,0,0,3,3,4,15,55,3,0,0,0,0,0,0,0,0,0,0,0,0.48,-0.34
5058,829275,GB,CHI,PASS,1,6,1,9,39,0,0,3,3,1,10,12,1,0,1,0,0,0,0,0,0,0,0,0,-0.14,-0.6
5058,829276,GB,CHI,RUSH,2,42,1,9,33,0,0,3,3,2,10,12,1,0,0,0,0,1,0,0,0,0,0,0,-0.74,-0.61
5058,829277,GB,CHI,PASS,3,47,1,8,51,0,0,3,3,3,10,12,1,0,1,0,0,0,1,0,0,0,0,0,-1.35,-1.83
5058,829278,CHI,GB,PUNT,0,11,1,8,4,0,0,3,3,4,17,5,1,0,0,0,0,0,0,1,0,0,0,0,-3.18,-0.31
5058,829279,CHI,GB,RUSH,1,41,1,7,53,0,0,3,3,1,10,64,4,0,1,0,0,1,0,0,0,0,0,0,3.49,-0.1
5058,829280,CHI,GB,RUSH,2,64,1,7,12,0,0,3,3,2,6,68,4,1,1,0,0,1,0,0,0,0,0,0,3.39,0.54
5058,829281,CHI,GB,RUSH,3,45,1,6,8,0,0,3,3,1,10,74,4,0,1,0,0,1,0,0,0,0,0,0,3.93,-0.44
5058,829282,CHI,GB,RUSH,4,42,1,5,23,0,0,3,3,2,9,75,4,0,0,0,0,1,0,0,0,0,0,0,3.49,-0.18
5058,829283,CHI,GB,PASS,5,27,1,4,41,0,0,3,3,3,5,79,4,0,1,0,0,1,0,0,0,0,0,0,3.31,-0.93
5058,829284,CHI,GB,FGXP,6,5,1,4,14,0,0,3,3,4,4,80,5,0,0,0,3,0,0,0,0,0,0,0,2.38,0.62
5058,829285,GB,CHI,KOFF,0,6,1,4,9,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5058,829286,GB,CHI,PASS,1,30,1,4,9,0,3,3,3,1,10,40,2,0,0,0,0,0,0,0,0,0,0,0,2.04,-0.57
5058,829287,GB,CHI,PASS,2,42,1,4,7,0,3,3,3,2,10,40,2,0,1,1,0,1,0,0,0,0,0,0,1.47,-0.08
5058,829288,GB,CHI,PASS,3,5,1,3,25,0,3,3,3,3,5,45,3,0,1,0,0,0,0,0,0,0,0,0,1.39,-1.41
5058,829289,CHI,GB,PUNT,0,7,1,3,20,3,0,3,3,4,5,45,3,0,0,0,0,0,0,1,0,0,0,0,-0.02,0.75
5058,829290,CHI,GB,RUSH,1,41,1,3,13,3,0,3,3,1,10,4,1,0,1,0,0,1,0,0,0,0,0,0,-0.73,-0.47
5058,829291,CHI,GB,PASS,2,42,1,2,32,3,0,3,3,2,9,5,1,0,1,0,0,1,0,0,0,0,0,0,-1.2,0.17
