player,fname,lname,pname,pos1,pos2,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp
AA-0025,Ameer,Abdullah,A.Abdullah,RB,,69,205,6/13/1993,4.5,24,42.5,130,3.95,6.79,30,8.625,54,Nebraska,Big Ten,2015,MIN,RB,31,3
AA-0050,Aaron,Adams,A.Adams,OL,,77,305,5/16/1989,5.26,22,28.5,101,4.61,7.61,0,0,0,Eastern Kentucky,Ohio Valley,2013,INA,INA,0,0
AA-0075,Andrew,Adams,A.Adams,DB,,71,203,10/28/1992,4.54,24,33,118,4.32,6.96,0,0,0,Connecticut,American Athletic,2016,TB,S,39,2
AA-0100,Anthony,Adams,A.Adams,DL,,72,300,6/18/1980,5.13,0,30.5,109,4.59,7.68,0,0,57,Penn State,Big Ten,2003,INA,INA,0,0
AA-0150,Aaron,Adeoye,A.Adeoye,DL,,78,260,8/26/1993,4.99,22,28.5,107,5.02,8.1,33.875,8.375,0,Southeast Missouri State,Ohio Valley,2019,BAL,PS,51,1
AA-0200,Al,Afalava,A.Afalava,DB,,71,212,1/20/1987,4.48,25,40,125,4.07,6.6,0,0,190,Oregon State,Pacific 10,2009,INA,INA,0,0
AA-0250,Azeez,Al-Shaair,A.Al-Shaair,LB,,74,231,8/4/1997,4.78,16,0,0,0,0,32.375,9.5,0,Florida Atlantic,Conference USA (C-USA),2019,SF,MIKE,51,2
AA-0300,Anthony,Alabi,A.Alabi,OL,,77,315,2/16/1981,5.12,18,32.5,105,4.6,7.64,0,0,162,Texas Christian,Mountain West (MWC),2006,INA,INA,0,0
AA-0400,Alex,Albright,A.Albright,LB,,77,260,1/29/1988,4.86,22,36,124,4.03,6.98,0,0,0,Boston College,Atlantic Coast (ACC),2011,INA,INA,0,0
AA-0500,Allen,Aldridge,A.Aldridge,LB,,73,254,5/30/1972,0,0,0,0,0,0,0,0,51,Houston,Southwest,1994,INA,INA,0,0
AA-0512,Adonis,Alexander,A.Alexander,DB,,75,197,11/7/1996,0,0,0,0,0,0,0,0,0,Virginia Tech,Atlantic Coast (ACC),2018,WAS,PS,36,1
AA-0525,Alvester,Alexander,A.Alexander,RB,,70,206,10/17/1990,4.45,18,36,128,4.21,6.89,0,0,0,Wyoming,Mountain West (MWC),2012,INA,INA,0,0
AA-0534,Austin,Allen,A.Allen,QB,,72,210,8/21/1994,4.81,0,29.5,112,4.48,7.18,0,0,0,Arkansas,Southeastern (SEC),2018,INA,INA,0,0
AA-0543,Adrian,Amos,A.Amos,DB,,72,218,4/29/1993,4.39,21,35.5,122,4.03,7.09,32.25,9.111,142,Penn State,Big Ten,2015,GB,FS,31,1
AA-0547,Abdullah,Anderson,A.Anderson,DL,,75,300,1/24/1996,5.17,32,30,106,4.68,7.38,0,0,0,Bucknell,,2018,CHI,PS,76,5
AA-0549,Andrew,Ankrah,A.Ankrah,LB,,75,249,12/31/1996,0,0,0,0,0,0,0,0,0,James Madison,Colonial Athletic (CAA),2019,INA,INA,0,0
AA-0552,Alex,Anzalone,A.Anzalone,LB,,75,241,9/22/1994,4.63,16,30.5,115,0,0,32.125,9.125,76,Florida,Southeastern (SEC),2017,NO,RES,47,1
AA-0554,Austin,Appleby,A.Appleby,QB,,76,240,6/4/1993,4.86,0,30,113,4.4,7.13,0,0,0,Florida,Southeastern (SEC),2017,INA,INA,0,0
AA-0557,Alex,Armah,A.Armah,RB,,74,253,5/17/1994,4.7,26,34.5,122,4.29,7,0,0,192,West Georgia,,2017,CAR,FB,40,1
AA-0562,Arik,Armstead,A.Armstead,DL,,79,292,11/15/1993,5.06,24,34,117,4.53,7.57,33,10.5,17,Oregon,Pacific 12,2015,SF,RDE,91,1
AA-0571,Ade,Aruna,A.Aruna,DL,,77,262,4/27/1994,4.6,18,38.5,128,4.48,7.44,34,10.625,218,Tulane,American Athletic,2018,MIN,RES,68,3
AA-0581,Antony,Auclair,A.Auclair,TE,,78,256,5/28/1993,4.9,22,33.5,117,4.37,7.3,0,0,0,Laval,,2017,TB,TE,82,2
AA-0590,Anthony,Averett,A.Averett,DB,,71,183,11/30/1994,4.36,13,31.5,130,4.4,6.93,30.25,8.5,118,Alabama,Southeastern (SEC),2018,BAL,LCB,34,2
AA-0600,Abdul-Karim,al-Jabbar,A.al-Jabbar,RB,,70,194,6/28/1974,0,22,33.5,0,0,0,0,0,80,UCLA,Pacific 10,1996,INA,INA,0,0
AA-0700,Andy,Alleman,A.Alleman,OL,,76,310,11/20/1983,5.07,30,30,106,4.38,7.43,0,0,88,Akron,Mid-American (MAC),2008,INA,INA,0,0
AA-0800,Anthony,Allen,A.Allen,RB,,73,223,8/6/1988,4.56,24,41.5,120,4.06,6.79,30.375,9.625,225,Georgia Tech,Atlantic Coast (ACC),2011,INA,INA,0,0
AA-0850,Antonio,Allen,A.Allen,LB,DB,74,202,9/23/1988,4.58,17,34,118,4.25,7.02,0,0,0,South Carolina,Southeastern (SEC),2012,INA,INA,0,0
AA-0900,Armando,Allen,A.Allen,RB,,68,190,4/30/1989,4.6,23,31.5,120,4.12,7.1,0,0,0,Notre Dame,FBS Independents,2011,INA,INA,0,0
AA-1000,Asher,Allen,A.Allen,DB,,70,190,1/22/1988,4.48,22,35,115,4.3,6.93,0,0,86,Georgia,Southeastern (SEC),2009,INA,INA,0,0
AA-1100,Aundrae,Allison,A.Allison,WR,,72,198,4/20/1986,4.39,0,37,127,4.25,6.81,0,0,146,East Carolina,Conference USA (C-USA),2007,INA,INA,0,0
AA-1200,Ashley,Ambrose,A.Ambrose,DB,,71,190,9/17/1970,0,0,0,0,0,0,0,0,29,Mississippi Valley State,Southwestern Athletic (SWAC),1992,INA,INA,0,0
AA-1300,Andre',Anderson,A.Anderson,RB,,71,205,5/1/1988,4.58,17,39,123,4.12,6.92,0,0,0,Tulane,Conference USA (C-USA),2010,INA,INA,0,0
AA-1350,Antonio,Andrews,A.Andrews,RB,,70,225,10/15/1992,4.72,20,30,108,4.35,7.17,31.25,9.5,0,Western Kentucky,Sun Belt,2014,INA,INA,0,0
AA-1400,Antwan,Applewhite,A.Applewhite,DL,LB,75,246,12/31/1985,4.73,25,35,115,4.36,7.5,0,0,0,San Diego State,Mountain West (MWC),2008,INA,INA,0,0
AA-1500,Adam,Archuleta,A.Archuleta,DB,LB,72,223,11/27/1977,4.46,31,0,0,0,0,0,0,20,Arizona State,Pacific 10,2001,INA,INA,0,0
AA-1550,Armond,Armstead,A.Armstead,DL,,76,290,8/3/1990,5.08,0,0,0,0,0,0,0,0,USC,Pacific 12,2012,INA,INA,0,0
AA-1600,Anthony,Armstrong,A.Armstrong,WR,,71,183,3/29/1983,4.38,0,0,0,0,0,0,0,0,West Texas A&M,,2010,INA,INA,0,0
AA-1700,Adrian,Arrington,A.Arrington,WR,,75,192,11/7/1985,4.55,36,0,0,0,0,0,0,0,Michigan,Big Ten,2010,INA,INA,0,0
AA-1800,Adrian,Awasom,A.Awasom,DL,,77,275,10/25/1983,4.93,23,33,107,4.4,7.57,0,0,0,North Texas,Sun Belt,2005,INA,INA,0,0
AA-1900,Akeem,Ayers,A.Ayers,LB,,74,254,7/10/1989,4.81,22,34.5,116,4.28,7.19,0,0,39,UCLA,Pacific 10,2011,INA,INA,0,0
AA-2000,Akin,Ayodele,A.Ayodele,LB,,74,251,9/17/1979,4.81,26,35,121,4.12,7,0,0,89,Purdue,Big Ten,2002,INA,INA,0,0
AB-0025,Alex,Bachman,A.Bachman,WR,,72,190,5/29/1996,4.47,17,33,127,4.28,6.71,30.875,9.5,0,Wake Forest,Atlantic Coast (ACC),2019,INA,INA,0,0
AB-0050,Aaron,Bailey,A.Bailey,QB,,73,230,,4.5,0,34,119,4.35,6.85,0,0,0,Northern Iowa,Missouri Valley,2017,INA,INA,0,0
AB-0100,Allen,Bailey,A.Bailey,DL,,75,288,3/25/1989,4.71,27,36.5,117,4.56,7.43,34,10.25,86,Miami (FL),Atlantic Coast (ACC),2011,ATL,LDE,93,1
AB-0120,Alvin,Bailey,A.Bailey,OL,,75,320,8/26/1991,4.9,27,0,0,4.69,7.5,0,0,0,Arkansas,Southeastern (SEC),2013,INA,INA,0,0
AB-0160,Alex,Balducci,A.Balducci,OL,DL,76,301,3/1/1994,5.01,25,33,113,4.63,7.55,0,0,0,Oregon,Pacific 12,2016,INA,INA,0,0
AB-0200,Alan,Ball,A.Ball,DB,,74,195,3/29/1985,4.52,11,36,124,4.18,6.75,0,0,237,Illinois,Big Ten,2007,INA,INA,0,0
AB-0300,Antonio,Banks,A.Banks,DB,,70,203,3/12/1973,0,0,0,0,0,0,0,0,113,Virginia Tech,Big East,1998,INA,INA,0,0
AB-0400,Alex,Bannister,A.Bannister,WR,,77,207,4/23/1979,4.47,0,30.5,110,0,0,0,0,140,Eastern Kentucky,Ohio Valley,2001,INA,INA,0,0
AB-0500,Allen,Barbre,A.Barbre,OL,,76,305,6/22/1984,4.84,28,32,105,4.63,7.4,0,0,119,Missouri Southern,,2007,INA,INA,0,0
AB-0525,Austin,Barnard,A.Barnard,K,,75,195,6/22/1995,5.1,0,0,0,0,0,0,0,0,Samford,Southern,2018,INA,INA,0,0
AB-0550,Adairius,Barnes,A.Barnes,DB,,71,187,4/30/1994,4.55,14,41.5,126,4.08,6.82,0,0,0,Louisiana Tech,Conference USA (C-USA),2016,INA,INA,0,0
AB-0575,Alex,Barnes,A.Barnes,RB,,72,226,10/27/1996,4.59,34,38.5,126,4.1,6.95,31,10,0,Kansas State,Big 12,2019,INA,INA,0,0
AB-0600,Antwan,Barnes,A.Barnes,LB,,73,251,10/19/1984,4.43,31,35,122,4.32,7.29,0,0,134,Florida International,Sun Belt,2007,INA,INA,0,0
AB-0650,Anthony,Barr,A.Barr,LB,,77,255,3/18/1992,4.56,19,34.5,125,4.19,6.82,33.5,9.375,9,UCLA,Pacific 12,2014,MIN,SLB,55,1
AB-0675,Alex,Barrett,A.Barrett,DL,,75,260,3/6/1994,4.97,21,30,109,4.42,7.41,0,0,0,San Diego State,Mountain West (MWC),2017,INA,INA,0,0
AB-0700,Alex,Barron,A.Barron,OL,,79,320,9/28/1982,5.27,21,38,112,4.57,7.83,0,0,19,Florida State,Atlantic Coast (ACC),2005,INA,INA,0,0
AB-0750,Alex,Bars,A.Bars,OL,,78,318,9/8/1995,5.27,0,0,0,0,0,32.75,9.375,0,Notre Dame,FBS Independents,2019,CHI,PS,64,1
AB-0800,Arnaz,Battle,A.Battle,WR,,73,217,2/22/1980,4.58,0,35,117,4.06,6.74,0,0,197,Notre Dame,FBS Independents,2003,INA,INA,0,0
AB-0900,Ainsley,Battles,A.Battles,DB,,71,204,11/6/1978,0,0,0,0,0,0,0,0,0,Vanderbilt,Southeastern (SEC),2000,INA,INA,0,0
AB-0950,Alan,Baxter,A.Baxter,LB,,72,238,3/28/1991,4.77,22,30,111,4.84,7.23,0,0,0,Northern Illinois,Mid-American (MAC),2013,INA,INA,0,0
AB-0975,Alex,Bayer,A.Bayer,TE,,76,258,11/8/1990,4.78,20,31.5,111,4.42,7.26,32.625,9.75,0,Bowling Green,Mid-American (MAC),2014,INA,INA,0,0
AB-0987,Alex,Bazzie,A.Bazzie,LB,,73,227,8/5/1990,4.87,19,35,118,4.48,7.29,0,0,0,Marshall,Conference USA (C-USA),2017,INA,INA,0,0
AB-1000,Aaron,Beasley,A.Beasley,DB,,72,205,7/7/1973,0,0,0,0,0,0,0,0,63,West Virginia,Big East,1996,INA,INA,0,0
AB-1100,Anthony,Becht,A.Becht,TE,,77,272,8/8/1977,4.78,0,33.5,123,4.08,6.94,0,0,27,West Virginia,Big East,2000,INA,INA,0,0
AB-1125,Andrew,Beck,A.Beck,TE,,75,254,5/15/1996,4.63,23,34,119,4.26,7.34,30.25,9.125,0,Texas,Big 12,2019,DEN,TE,83,2
AB-1137,Abdul,Beecham,A.Beecham,OL,,75,322,3/5/1997,5.77,15,25,102,5.06,7.8,34,10,0,Kansas State,Big 12,2019,INA,INA,0,0
AB-1150,Adrian,Bellard,A.Bellard,OL,,77,307,8/7/1994,5.49,15,26,93,5.03,8.08,0,0,0,Texas State,Sun Belt,2016,INA,INA,0,0
AB-1200,Arrelious,Benn,A.Benn,WR,,73,220,9/8/1988,4.57,20,27.5,121,4.32,6.78,32.25,9.375,39,Illinois,Big Ten,2010,INA,INA,0,0
AB-1250,Al-Rasheed,Benton,A.Benton,LB,,73,237,,5.01,0,28.5,108,4.56,7.45,0,0,0,West Virginia,Big 12,2018,INA,INA,0,0
AB-1300,Adam,Bergen,A.Bergen,TE,,76,263,9/3/1983,4.78,25,38,121,4.11,7.12,0,0,0,Lehigh,,2005,INA,INA,0,0
AB-1400,Aaron,Berry,A.Berry,DB,,71,180,6/25/1988,4.48,11,36,123,3.99,6.61,0,0,0,Pittsburgh,Big East,2010,INA,INA,0,0
AB-1500,Antoine,Bethea,A.Bethea,DB,,71,203,7/27/1984,4.39,19,36.5,127,4.13,6.99,0,0,207,Howard,Mid-Eastern Athletic (MEAC),2006,NYG,FS,41,1
AB-1600,Atari,Bigby,A.Bigby,DB,,71,211,9/19/1981,4.65,19,35,112,4.11,7,0,0,0,Central Florida,Mid-American (MAC),2005,INA,INA,0,0
AB-1625,Adam,Bighill,A.Bighill,LB,,69,225,10/16/1988,4.59,24,33,110,4.3,6.99,0,0,0,Central Washington,,2017,INA,INA,0,0
AB-1650,Andrew,Billings,A.Billings,DL,,73,311,3/6/1995,5,31,27.5,113,4.78,7.74,33,10,122,Baylor,Big 12,2016,CIN,NT,99,1
AB-1700,Armon,Binns,A.Binns,WR,,75,209,9/8/1989,4.5,13,33.5,121,4.31,6.86,32.5,9.5,0,Cincinnati,Big East,2011,INA,INA,0,0
AB-1750,Adam,Bisnowaty,A.Bisnowaty,OL,,78,304,12/14/1993,5.23,23,29.5,96,4.88,8.02,33.875,11.375,200,Pittsburgh,Atlantic Coast (ACC),2017,INA,INA,0,0
AB-1800,Ahmad,Black,A.Black,DB,,69,190,12/12/1989,4.7,18,36.5,119,4.12,6.77,31,9.875,151,Florida,Southeastern (SEC),2011,INA,INA,0,0
AB-1900,Avion,Black,A.Black,WR,,71,185,4/24/1977,4.42,0,0,0,0,0,0,0,121,Tennessee State,Ohio Valley,2000,INA,INA,0,0
AB-1925,Angelo,Blackson,A.Blackson,DL,,76,318,11/14/1992,4.97,21,31,101,4.57,7.5,33.75,9.75,100,Auburn,Southeastern (SEC),2015,HOU,DE,97,1
AB-1950,Antwon,Blake,A.Blake,DB,,69,198,8/8/1990,4.32,21,39,121,4.09,7.04,0,0,0,Texas-El Paso,Conference USA (C-USA),2012,INA,INA,0,0
AB-1953,Amani,Bledsoe,A.Bledsoe,DL,,76,287,2/6/1998,4.95,25,31,115,4.58,7.69,32.25,9.375,0,Oklahoma,Big 12,2019,TEN,PS,95,1
AB-1956,Alec,Bloom,A.Bloom,TE,,78,261,4/3/1996,4.93,13,29.5,114,4.6,7.27,0,0,0,Connecticut,American Athletic,2018,INA,INA,0,0
AB-1962,Akil,Blount,A.Blount,LB,,74,239,7/12/1994,4.61,30,40,113,4.24,7.15,0,0,0,Florida A&M,Mid-Eastern Athletic (MEAC),2016,INA,INA,0,0
AB-1975,Alfred,Blue,A.Blue,RB,,74,223,4/27/1991,4.58,13,32,121,4.5,7.15,32.375,9.875,181,LSU,Southeastern (SEC),2014,JAC,RES,23,1
AB-1987,Austin,Blythe,A.Blythe,OL,,74,298,6/16/1992,5.34,29,31.5,99,4.46,7.52,30.25,9.375,248,Iowa,Big Ten,2016,LA,RG,66,1
AB-2000,Anquan,Boldin,A.Boldin,WR,,73,220,10/3/1980,4.72,0,33.5,114,4.33,7.35,30,9.875,54,Florida State,Atlantic Coast (ACC),2003,INA,INA,0,0
AB-2025,Al,Bond,A.Bond,OL,,76,303,3/5/1992,5.45,22,24,91,4.65,7.9,0,0,0,Memphis,American Athletic,2015,INA,INA,0,0
AB-2050,Alan,Bonner,A.Bonner,WR,,70,193,11/5/1990,4.5,14,33,117,4.09,7.04,30.25,9.375,195,Jacksonville State,Ohio Valley,2013,INA,INA,0,0
AB-2075,Andrew,Bonnet,A.Bonnet,RB,,75,250,12/27/1992,4.92,22,0,0,0,0,0,0,0,North Dakota State,Missouri Valley,2016,INA,INA,0,0
AB-2100,Alex,Boone,A.Boone,OL,,80,300,5/4/1987,5.16,33,27.5,103,4.69,7.83,0,0,0,Ohio State,Big Ten,2009,INA,INA,0,0
AB-2200,Alfonso,Boone,A.Boone,DL,,76,318,1/11/1976,0,0,0,0,0,0,0,0,253,Central State,,2001,INA,INA,0,0
AB-2225,Andrew,Bose,A.Bose,LB,,74,232,6/7/1993,4.71,25,35,122,4.37,7.2,0,0,0,Rhode Island,Colonial Athletic (CAA),2015,INA,INA,0,0
AB-2250,A.J.,Bouye,A.Bouye,DB,LB,72,186,8/16/1991,4.57,18,36.5,125,4.04,7.06,0,0,0,Central Florida,Conference USA (C-USA),2013,JAC,RCB,21,1
AB-2300,Alvin,Bowen,A.Bowen,LB,,73,220,12/24/1983,4.79,15,34,119,4.3,7.1,0,0,147,Iowa State,Big 12,2010,INA,INA,0,0
AB-2400,Andy,Bowers,A.Bowers,DL,,77,283,2/22/1976,4.83,0,0,0,0,0,0,0,0,Utah,Mountain West (MWC),2001,INA,INA,0,0
AB-2500,Allen,Bradford,A.Bradford,RB,LB,71,235,8/31/1988,4.53,28,29,113,4.39,6.97,32.125,9.375,187,USC,Pacific 10,2011,INA,INA,0,0
AB-2600,Ahmad,Bradshaw,A.Bradshaw,RB,,69,214,3/19/1986,4.55,0,34,112,4.09,6.7,0,0,250,Marshall,Conference USA (C-USA),2007,INA,INA,0,0
AB-2700,Alan,Branch,A.Branch,DL,,78,325,12/29/1984,5.07,33,27.5,107,4.79,7.56,0,0,33,Michigan,Big Ten,2007,INA,INA,0,0
AB-2730,Andre,Branch,A.Branch,DL,,76,259,7/14/1989,4.67,19,32.5,120,4.25,7.19,34,9,38,Clemson,Atlantic Coast (ACC),2012,INA,INA,0,0
AB-2760,Aaron,Brewer,A.Brewer,OL,,74,225,7/5/1990,4.96,10,27.5,102,4.48,7.27,0,0,0,San Diego State,Mountain West (MWC),2012,ARI,LS,46,1
AB-2800,Anthony,Bright,A.Bright,WR,,73,170,3/28/1977,0,0,0,0,0,0,0,0,0,Valencia,,2002,INA,INA,0,0
AB-2900,Aaron,Brooks,A.Brooks,QB,,76,220,3/24/1976,4.6,0,35.5,120,4.29,7.52,0,0,131,Virginia,Atlantic Coast (ACC),2000,INA,INA,0,0
AB-3000,Ahmad,Brooks,A.Brooks,DB,,68,180,3/13/1980,0,0,0,0,0,0,0,0,0,Texas,Big 12,2002,INA,INA,0,0
AB-3100,Ahmad,Brooks,A.Brooks,LB,,75,259,3/14/1984,4.64,0,0,0,0,0,0,0,0,Virginia,Atlantic Coast (ACC),2006,INA,INA,0,0
AB-3150,A.J.,Brown,A.Brown,WR,,72,226,6/30/1997,4.49,19,36.5,120,4.25,7,32.875,9.75,51,Mississippi,Southeastern (SEC),2019,TEN,RWR,11,2
AB-3200,Aaron,Brown,A.Brown,RB,,72,196,10/10/1985,4.49,16,40,129,4.26,7.22,0,0,192,Texas Christian,Mountain West (MWC),2009,INA,INA,0,0
AB-3300,Alex,Brown,A.Brown,DL,,75,262,6/4/1979,4.74,0,0,0,0,0,0,0,104,Florida,Southeastern (SEC),2002,INA,INA,0,0
AB-3325,Alex,Brown,A.Brown,DB,,71,170,8/30/1996,4.44,12,41.5,131,4.33,7.2,33,9,0,South Carolina State,Mid-Eastern Athletic (MEAC),2019,KC,PS,30,2
AB-3350,Algernon,Brown,A.Brown,RB,,72,250,11/29/1991,4.63,21,33,115,4.31,7.06,0,0,0,Brigham Young,FBS Independents,2017,INA,INA,0,0
AB-3400,Andre,Brown,A.Brown,RB,,72,227,12/15/1986,4.37,24,37,115,4.28,7.08,32,9.5,0,North Carolina State,Atlantic Coast (ACC),2010,INA,INA,0,0
AB-3425,Andrew,Brown,A.Brown,DL,,75,296,12/30/1995,5.03,31,28,101,4.48,7.51,34.5,9.375,158,Virginia,Atlantic Coast (ACC),2018,CIN,RDE,93,3
