pid,punter,pgro,pnet,ptb,pr,pry,pfc
829266,JS-1250,53,42,0,TC-1975,11,0
829274,PO-0050,33,33,0,TD-0737,0,1
829278,JS-1250,42,36,0,TC-1975,6,0
829289,JS-1250,47,47,0,TC-1975,0,1
829298,PO-0050,46,45,0,TD-0737,1,0
829309,PO-0050,37,37,0,,0,0
829318,JS-1250,63,63,0,,0,0
829325,PO-0050,42,42,0,TD-0737,0,1
829333,JS-1250,36,36,0,,0,0
829337,PO-0050,52,52,0,,0,0
829344,PO-0050,39,39,0,TD-0737,0,1
829352,JS-1250,37,37,0,TC-1975,0,1
829356,PO-0050,39,39,0,,0,0
829360,JS-1250,50,45,0,TC-1975,5,0
829377,JS-1250,37,37,0,TC-1975,0,1
829387,PO-0050,53,53,0,TD-0737,0,1
829417,JS-1250,63,49,0,TC-1975,14,0
829428,MB-3000,-12,-12,0,,0,0
829456,MB-3000,33,33,0,CB-1152,0,1
829465,BC-2000,51,40,0,KB-0350,11,0
829494,MB-3000,45,45,0,CB-1152,0,1
829498,BC-2000,57,45,0,KB-0350,12,0
829509,BC-2000,42,37,0,KB-0350,5,0
829536,MB-3000,52,52,0,CB-1152,0,1
829540,BC-2000,55,37,0,KB-0350,18,0
829558,BC-2000,42,42,0,,0,0
829601,MH-0050,58,58,0,CJ-2350,0,1
829612,MH-0050,52,37,0,CJ-2350,15,0
829634,SK-0600,56,56,0,JG-2950,0,0
829645,MH-0050,52,52,0,,0,0
829673,MH-0050,55,41,0,CJ-2350,14,0
829694,MH-0050,51,51,0,CJ-2350,0,1
829722,MH-0050,54,54,0,,0,0
829749,LE-0025,44,44,0,,0,0
829763,CB-1975,35,35,0,,0,0
829773,LE-0025,54,44,0,MH-4000,10,0
829778,CB-1975,60,35,1,,0,0
829790,LE-0025,37,37,0,MH-4000,0,1
829804,LE-0025,39,39,0,MH-4000,0,1
829825,LE-0025,53,53,0,,0,0
829857,LE-0025,41,41,0,MH-4000,0,1
829874,LE-0025,36,36,0,MH-4000,0,1
829898,CB-1975,35,10,1,,0,0
829910,LC-0875,48,48,0,TH-1750,0,0
830009,LC-0875,48,48,0,MH-0875,0,1
830035,DC-3200,51,26,1,,0,0
830073,JH-3230,7,7,0,,0,0
830077,MP-0050,57,32,1,,0,0
830081,JH-3230,68,55,0,RM-2050,13,0
830111,MP-0050,58,55,0,JN-0350,3,0
830118,JH-3230,63,52,0,RM-2050,11,0
830122,MP-0050,38,38,0,JN-0350,0,1
830193,JH-3230,-14,-18,0,,0,0
830204,MP-0050,40,24,0,JN-0350,16,0
830261,JG-1450,49,49,0,,0,0
830266,BK-0700,46,46,0,,0,0
830272,JG-1450,52,52,0,AH-3862,0,1
830293,JG-1450,46,46,0,AH-3862,0,1
830301,BK-0700,46,28,0,DH-3137,18,0
830305,JG-1450,47,47,0,AH-3862,0,1
830309,BK-0700,70,70,0,,0,0
830317,BK-0700,35,35,0,JL-0215,0,1
830338,JG-1450,39,39,0,AH-3862,0,1
830343,BK-0700,44,44,0,,0,0
830393,BK-0700,36,36,0,,0,0
830418,CJ-1825,52,36,0,TQ-0100,16,0
830452,CJ-1825,54,54,0,TQ-0100,0,1
830457,TW-1175,57,45,0,DS-3300,12,0
830469,TW-1175,57,57,0,,0,0
830473,CJ-1825,48,48,0,TQ-0100,0,1
830504,TW-1175,44,27,0,DS-3300,17,0
830513,TW-1175,58,44,0,DS-3300,14,0
830530,TW-1175,56,53,0,DS-3300,3,0
830582,KH-2600,51,26,1,,0,0
830586,MD-0325,45,45,0,AE-1037,0,1
830607,MD-0325,43,34,0,AE-1037,9,0
830614,MD-0325,38,38,0,AE-1037,0,1
830619,KH-2600,38,38,0,TL-1025,0,1
830639,MD-0325,51,40,0,AE-1037,11,0
830643,KH-2600,38,38,0,TL-1025,0,1
830667,MD-0325,60,51,0,AE-1037,9,0
830678,MD-0325,54,54,0,,0,0
830716,MD-0325,45,40,0,AE-1037,5,0
830723,KH-2600,50,50,0,,0,0
830731,MD-0325,40,40,0,AE-1037,0,1
830739,TL-1062,54,49,0,CR-1525,5,0
830745,RS-0150,49,49,0,,0,0
830788,RS-0150,20,20,0,,0,0
830831,TL-1062,44,44,0,CR-1525,0,1
830837,RS-0150,39,39,0,DK-0687,0,0
830894,SM-0650,41,41,0,CK-0825,0,1
830899,AL-0500,55,58,0,JA-0425,-3,0
830904,SM-0650,40,40,0,,0,0
830915,AL-0500,57,32,1,,0,0
830930,AL-0500,33,33,0,,0,0
830939,AL-0500,57,44,0,JA-0425,13,0
830959,AL-0500,53,53,0,JA-0425,0,0
830973,SM-0650,44,40,0,CK-0825,4,0
830979,AL-0500,41,40,0,JA-0425,1,0
