uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
51345,5058,AR-1300,2,2,18,0,2,0,-2,0,0,0,0,0
51346,5058,DA-0212,0,0,0,0,0,0,0,1,1,10,0,0
51347,5058,JG-2900,0,0,0,0,0,0,0,1,1,8,0,0
51348,5058,MT-1800,3,0,0,1,0,0,0,0,0,0,0,0
51349,5058,MD-0150,0,0,0,0,0,0,0,1,0,0,0,0
51350,5058,AS-0775,0,0,0,0,0,0,0,1,0,0,0,0
51351,5058,AR-1250,0,0,0,0,0,0,0,1,0,0,0,0
51352,5059,KC-2350,1,0,0,0,1,1,1,0,0,0,0,0
51353,5059,DC-3550,0,0,0,0,3,2,26,0,0,0,0,0
51354,5059,AM-0825,0,0,0,0,1,1,17,0,0,0,0,0
51355,5059,IS-0250,0,0,0,0,1,0,-1,0,0,0,0,0
51356,5059,MR-2500,5,3,38,1,0,0,0,0,0,0,0,0
51357,5059,LS-1900,0,0,0,0,0,0,0,1,0,0,0,0
51358,5059,JH-1350,0,0,0,0,0,0,0,1,0,0,0,0
51359,5059,CR-0862,0,0,0,0,0,0,0,2,2,36,0,0
51360,5059,JJ-4700,0,0,0,0,0,0,0,1,1,2,0,0
51361,5060,JH-4085,0,0,0,0,2,2,23,0,0,0,0,0
51362,5060,MI-0100,0,0,0,0,5,3,11,0,0,0,0,0
51363,5060,GE-0150,0,0,0,0,7,2,19,0,0,0,0,0
51364,5060,LJ-0150,5,3,9,0,0,0,0,0,0,0,0,0
51365,5060,MB-4075,0,0,0,0,0,0,0,1,1,3,0,0
51366,5060,MB-3325,0,0,0,0,0,0,0,1,1,5,0,0
51367,5060,RF-0500,2,2,17,0,0,0,0,0,0,0,0,0
51368,5060,PW-1150,0,0,0,0,0,0,0,2,2,17,0,0
51369,5060,HH-0350,0,0,0,0,0,0,0,1,0,0,0,0
51370,5060,PR-0125,0,0,0,0,0,0,0,1,1,1,0,0
51371,5060,WS-0925,0,0,0,0,0,0,0,1,0,0,0,0
51372,5060,RG-1850,1,1,3,0,3,2,6,0,0,0,0,0
51373,5060,MA-1050,0,0,0,0,0,0,0,1,1,3,0,0
51374,5061,SD-0175,3,3,26,0,0,0,0,0,0,0,0,0
51375,5061,LB-0250,0,0,0,0,1,1,4,2,2,20,0,0
51376,5061,QE-0100,0,0,0,0,0,0,0,0,0,0,0,10
51377,5061,JC-5680,0,0,0,0,0,0,0,1,1,6,0,0
51378,5061,DS-2177,0,0,0,0,1,1,15,0,0,0,0,0
51379,5061,JA-1087,0,0,0,0,1,1,3,0,0,0,0,0
51380,5062,TH-1750,0,0,0,0,1,1,5,0,0,0,0,0
51381,5062,PM-0025,10,6,28,0,1,0,2,0,0,0,0,0
51382,5062,DW-3125,0,0,0,0,4,3,9,3,3,10,0,0
51383,5062,TK-0150,0,0,0,0,0,0,0,4,0,0,0,0
51384,5062,DR-2225,0,0,0,0,0,0,0,1,1,0,0,0
51385,5062,GM-1350,4,4,25,0,1,0,6,0,0,0,0,0
51386,5062,DW-2275,0,0,0,0,0,0,0,2,2,13,0,0
51387,5062,JO-0150,0,0,0,0,0,0,0,1,1,7,0,0
51388,5062,AS-0900,0,0,0,0,0,0,0,1,1,15,0,0
51389,5062,MH-0875,0,0,0,0,0,0,0,1,0,0,0,0
51390,5062,LM-1000,0,0,0,0,1,1,5,0,0,0,0,0
51391,5062,SW-0450,0,0,0,0,0,0,0,1,1,3,0,0
51392,5062,GS-1400,0,0,0,0,0,0,0,1,1,5,0,0
51393,5062,MM-4700,1,0,0,0,1,0,-1,0,0,0,0,0
51394,5063,MB-3862,0,0,0,0,5,4,21,0,0,0,0,0
51395,5063,JG-1850,5,3,22,0,0,0,0,0,0,0,0,0
51396,5063,GE-0400,0,0,0,0,0,0,0,0,0,0,0,10
51397,5063,BC-2325,0,0,0,0,0,0,0,1,0,0,0,0
51398,5063,CM-1225,0,0,0,0,4,4,31,0,0,0,0,0
51399,5063,TH-1550,0,0,0,0,0,0,0,2,2,11,0,0
51400,5063,RW-4050,0,0,0,0,0,0,0,1,1,11,0,0
51401,5063,DH-2325,0,0,0,0,1,0,0,0,0,0,0,0
51402,5063,AA-0557,0,0,0,0,1,1,1,0,0,0,0,0
51403,5064,DH-3137,0,0,0,0,1,1,4,0,0,0,0,0
51404,5064,DH-2450,0,0,0,0,4,3,11,0,0,0,0,0
51405,5064,MM-0912,4,2,18,0,0,0,0,0,0,0,0,0
51406,5064,DL-1700,0,0,0,0,0,0,0,1,0,0,0,0
51407,5064,AB-3150,0,0,0,0,0,0,0,1,0,0,0,0
51408,5064,BM-0650,1,1,3,0,0,0,0,0,0,0,0,0
51409,5064,DN-1225,0,0,0,0,0,0,0,1,1,3,0,0
51410,5064,DW-0500,0,0,0,0,0,0,0,2,2,18,0,0
51411,5065,CK-0250,7,3,11,0,0,0,0,0,0,0,0,0
51412,5065,PR-0150,0,0,0,0,0,0,0,1,0,0,0,0
51413,5065,VD-0100,0,0,0,0,0,0,0,1,1,-4,0,0
51414,5065,MS-0125,0,0,0,0,2,0,-2,0,0,0,0,0
51415,5065,CW-1425,3,3,18,0,1,1,2,0,0,0,0,0
51416,5065,AJ-0430,0,0,0,0,1,1,2,1,1,5,0,0
51417,5065,DS-3300,0,0,0,0,1,1,5,1,1,7,0,0
51418,5065,JH-5575,0,0,0,0,1,1,3,1,1,6,0,0
51419,5065,CT-1220,0,0,0,0,0,0,0,1,1,11,0,0
51420,5065,TQ-0100,0,0,0,0,0,0,0,2,1,4,0,0
51421,5066,JM-5275,0,0,0,0,2,0,3,0,0,0,0,0
51422,5066,CC-0750,0,0,0,0,4,2,16,1,1,10,0,0
51423,5066,RW-3850,2,1,10,0,0,0,0,0,0,0,0,0
51424,5066,DM-2275,0,0,0,0,0,0,0,1,0,0,0,0
51425,5066,AD-0100,3,1,1,0,0,0,0,0,0,0,1,0
51426,5066,GB-0350,0,0,0,0,0,0,0,1,0,0,0,0
51427,5066,JR-3280,0,0,0,0,0,0,0,1,1,8,0,0
51428,5067,JJ-0575,0,0,0,0,2,0,3,1,0,0,0,0
51429,5067,PR-0300,6,4,13,1,0,0,0,0,0,0,0,0
51430,5067,DI-0075,0,0,0,0,0,0,0,1,1,5,0,0
51431,5067,KA-0650,0,0,0,0,0,0,0,3,2,7,0,0
51432,5067,AE-0550,0,0,0,0,2,1,6,1,1,1,0,0
51433,5067,JB-5725,7,4,29,0,0,0,0,0,0,0,0,0
51434,5067,TH-1850,0,0,0,0,0,0,0,3,3,28,0,0
51435,5067,MM-0050,0,0,0,0,4,3,16,0,0,0,0,0
51436,5067,JD-2550,0,0,0,0,0,0,0,1,0,0,0,0
51437,5067,PC-0050,0,0,0,0,0,0,0,1,1,1,0,0
51438,5067,EE-0050,0,0,0,0,0,0,0,1,0,0,0,0
51439,5067,DF-2200,0,0,0,0,0,0,0,1,0,0,0,0
51440,5067,DW-1750,0,0,0,0,1,1,2,0,0,0,0,0
51441,5068,CA-0750,0,0,0,0,2,0,1,0,0,0,0,0
51442,5068,MS-4100,3,1,9,0,0,0,0,0,0,0,0,0
51443,5068,KG-0650,0,0,0,0,0,0,0,2,1,9,0,0
51444,5068,DJ-1325,0,0,0,0,3,1,11,0,0,0,0,0
51445,5068,KM-3500,7,2,11,0,1,0,-2,0,0,0,0,0
51446,5068,LF-0200,0,0,0,0,0,0,0,2,1,4,0,0
51447,5068,CK-0825,0,0,0,0,0,0,0,1,0,0,0,0
51448,5068,KJ-0537,0,0,0,0,0,0,0,2,0,0,0,0
51449,5068,DB-6375,0,0,0,0,0,0,0,1,1,7,0,0
51450,5068,TH-1875,0,0,0,0,0,0,0,1,0,0,0,0
51451,5068,KJ-0587,0,0,0,0,1,0,3,0,0,0,0,0
51452,5069,EM-0200,6,4,22,0,0,0,0,0,0,0,1,0
51453,5069,SS-1250,0,0,0,0,0,0,0,2,1,4,0,0
51454,5069,SB-0212,0,0,0,0,4,2,10,0,0,0,0,0
51455,5069,EE-0400,0,0,0,0,0,0,0,1,1,1,0,0
51456,5069,EE-0250,0,0,0,0,3,3,16,0,0,0,0,0
51457,5069,DP-2037,3,3,23,0,0,0,0,0,0,0,0,0
51458,5069,RC-1500,0,0,0,0,0,0,0,1,1,14,0,0
51459,5069,JW-6000,0,0,0,0,0,0,0,2,2,9,0,0
51460,5069,BF-0950,0,0,0,0,0,0,0,1,1,4,0,0
51461,5069,EP-0350,0,0,0,0,1,0,1,0,0,0,0,0
51462,5069,WG-0050,0,0,0,0,1,1,2,1,1,13,0,0
51463,5070,TC-2050,0,0,0,0,1,1,5,0,0,0,0,0
51464,5070,KJ-1400,0,0,0,0,0,0,0,0,0,0,0,10
51465,5070,JG-0650,4,2,8,0,0,0,0,0,0,0,0,0
51466,5070,GK-0075,0,0,0,0,0,0,0,3,2,8,0,0
