pid,bc,dir,yds,succ,kne
829263,AJ-1143,LT,0,0,0
829268,MD-0150,LG,5,1,0
829270,MT-1800,RT,7,1,0
829272,MT-1800,RG,1,0,0
829276,AJ-1143,RT,0,0,0
829279,DM-2787,LG,4,1,0
829280,DM-2787,LG,6,1,0
829281,DM-2787,LG,1,0,0
829282,MD-0150,LT,4,0,0
829290,MD-0150,RG,1,0,0
829294,DM-2787,LT,6,1,0
829296,DM-2787,RG,1,0,0
829308,CP-0750,RG,-2,0,0
829312,JW-3650,RT,5,1,0
829313,MV-0012,LE,0,0,0
829316,JW-3650,LT,-1,0,0
829326,AJ-1143,LT,3,0,0
829341,DM-2787,LT,0,0,0
829345,AJ-1143,RE,3,0,0
829353,MD-0150,LG,8,1,0
829354,MD-0150,LG,1,0,0
829357,AJ-1143,RG,0,0,0
829368,MT-1800,MD,3,0,0
829369,AJ-1143,LT,9,1,0
829370,AJ-1143,RT,6,1,0
829371,AJ-1143,RG,2,0,0
829373,JW-3650,LE,-2,0,0
829388,AJ-1143,LT,1,0,0
829390,AJ-1143,RT,2,0,0
829394,AJ-1143,LT,6,1,0
829396,JW-3650,RG,0,0,0
829397,JW-3650,LT,-2,0,0
829398,AR-1300,LG,10,0,0
829414,AJ-1143,LG,5,1,0
829416,AJ-1143,LT,2,0,0
829422,AR-1300,NL,-1,0,1
829423,AR-1300,NL,-1,0,1
829426,DF-1875,RT,4,0,0
829427,MR-2500,LE,12,0,0
829434,DF-1875,LT,4,1,0
829435,DF-1875,RT,3,0,0
829439,DC-3550,RE,21,1,0
829441,DC-3550,LE,19,1,0
829444,DF-1875,LE,2,0,0
829450,DF-1875,LE,-1,0,0
829452,RG-0025,RE,-1,0,0
829457,AM-0825,MD,3,0,0
829459,DC-3550,LG,2,1,0
829460,AM-0825,RE,23,1,0
829462,AM-0825,LG,-4,0,0
829463,KC-2350,MD,0,0,0
829464,AA-0025,LG,6,0,0
829468,MR-2500,RE,12,1,0
829470,DF-1875,LT,0,0,0
829471,DC-3550,LT,1,0,0
829472,DC-3550,MD,0,0,0
829476,DC-3550,MD,3,0,0
829478,DC-3550,LT,6,1,0
829479,DC-3550,RT,22,1,0
829480,AM-0825,LE,17,1,0
829481,DC-3550,LT,0,0,0
829482,KC-2350,MD,1,1,0
829486,IS-0250,LE,16,1,0
829489,IS-0250,LT,2,1,0
829495,DC-3550,MD,2,0,0
829496,DC-3550,LT,-2,0,0
829497,DC-3550,RT,0,0,0
829503,DC-3550,LE,3,0,0
829506,DC-3550,MD,2,0,0
829507,DC-3550,MD,6,1,0
829508,DC-3550,RT,1,0,0
829511,DF-1875,RE,5,1,0
829513,IS-0250,MD,3,1,0
829515,DF-1875,MD,2,0,0
829518,IS-0250,MD,2,0,0
829523,IS-0250,MD,-1,0,0
829526,DC-3550,RT,1,0,0
829527,KC-2350,MD,2,1,0
829529,DC-3550,LE,8,1,0
829530,DC-3550,MD,7,1,0
829537,AM-0825,RT,4,1,0
829538,AM-0825,LE,-2,0,0
829539,AA-0025,MD,2,0,0
829544,IS-0250,LT,9,1,0
829551,DC-3550,RG,2,0,0
829552,DC-3550,RT,7,1,0
829553,KC-2350,MD,3,1,0
829554,AM-0825,LG,0,0,0
829555,AM-0825,MD,0,0,0
829556,AM-0825,RG,8,0,0
829576,KC-2350,NL,-1,0,1
829577,KC-2350,NL,-1,0,1
829579,MI-0100,RG,49,1,0
829581,GE-0150,RT,11,1,0
829583,JH-4085,LE,13,1,0
829584,MI-0100,RT,4,1,0
829585,GE-0150,MD,1,0,0
829586,MI-0100,RT,1,1,0
829591,KB-0150,MD,4,1,0
829598,AW-1650,MD,1,0,0
829599,KB-0150,RE,-8,0,0
829602,GE-0150,LT,4,1,0
829603,LJ-0150,RE,3,0,0
829607,KB-0150,LE,-3,0,0
