gid,seas,wk,day,date,v,h,stad,surf
5058,2019,1,THU,9/5/2019 20:20,GB,CHI,Soldier Field,Grass
5059,2019,1,SUN,9/8/2019 13:00,ATL,MIN,U.S. Bank Stadium,UBU Speed Series S5M
5060,2019,1,SUN,9/8/2019 13:00,BAL,MIA,Hard Rock Stadium,Platinum TE Paspalum
5061,2019,1,SUN,9/8/2019 13:00,BUF,NYJ,MetLife Stadium,UBU Speed Series S5M
5062,2019,1,SUN,9/8/2019 13:00,KC,JAC,TIAA Bank Field,Grass
5063,2019,1,SUN,9/8/2019 13:00,LA,CAR,Bank of America Stadium,Grass
5064,2019,1,SUN,9/8/2019 13:00,TEN,CLE,FirstEnergy Stadium,Grass
5065,2019,1,SUN,9/8/2019 13:00,WAS,PHI,Lincoln Financial Field,DD GrassMaster
5066,2019,1,SUN,9/8/2019 16:05,CIN,SEA,CenturyLink Field,FieldTurf
5067,2019,1,SUN,9/8/2019 16:05,IND,LAC,Dignity Health Sports Park,Grass
5068,2019,1,SUN,9/8/2019 16:25,DET,ARI,State Farm Stadium,Grass
5069,2019,1,SUN,9/8/2019 16:25,NYG,DAL,AT&T Stadium,Hellas Matrix Turf
5070,2019,1,SUN,9/8/2019 16:25,SF,TB,Raymond James Stadium,Grass
5071,2019,1,SN,9/8/2019 20:20,PIT,NE,Gillette Stadium,FieldTurf
5072,2019,1,MN,9/9/2019 19:10,HOU,NO,Mercedes-Benz Superdome,FieldTurf
5073,2019,1,MN,9/9/2019 22:20,DEN,OAK,Oakland-Alameda County Coliseum,Grass
5074,2019,2,THU,9/12/2019 20:20,TB,CAR,Bank of America Stadium,Grass
5075,2019,2,SUN,9/15/2019 13:00,ARI,BAL,M&T Bank Stadium,Grass
5076,2019,2,SUN,9/15/2019 13:00,BUF,NYG,MetLife Stadium,UBU Speed Series S5M
5077,2019,2,SUN,9/15/2019 13:00,DAL,WAS,FedExField,Grass
5078,2019,2,SUN,9/15/2019 13:00,IND,TEN,Nissan Stadium,Grass
5079,2019,2,SUN,9/15/2019 13:00,JAC,HOU,NRG Stadium,Hellas Matrix Turf
5080,2019,2,SUN,9/15/2019 13:00,LAC,DET,Ford Field,FieldTurf
5081,2019,2,SUN,9/15/2019 13:00,MIN,GB,Lambeau Field,DD GrassMaster
5082,2019,2,SUN,9/15/2019 13:00,NE,MIA,Hard Rock Stadium,Platinum TE Paspalum
5083,2019,2,SUN,9/15/2019 13:00,SF,CIN,Paul Brown Stadium,UBU Speed Series S5M
5084,2019,2,SUN,9/15/2019 13:00,SEA,PIT,Heinz Field,Grass
5085,2019,2,SUN,9/15/2019 16:05,KC,OAK,Oakland-Alameda County Coliseum,Grass
5086,2019,2,SUN,9/15/2019 16:25,CHI,DEN,Broncos Stadium at Mile High,Grass
5087,2019,2,SUN,9/15/2019 16:25,NO,LA,Los Angeles Memorial Coliseum,Grass
5088,2019,2,SN,9/15/2019 20:20,PHI,ATL,Mercedes-Benz Stadium,FieldTurf
5089,2019,2,MN,9/16/2019 20:15,CLE,NYJ,MetLife Stadium,UBU Speed Series S5M
5090,2019,3,THU,9/19/2019 20:20,TEN,JAC,TIAA Bank Field,Grass
5091,2019,3,SUN,9/22/2019 13:00,ATL,IND,Lucas Oil Stadium,Shaw Sports Momentum Pro
5092,2019,3,SUN,9/22/2019 13:00,BAL,KC,Arrowhead Stadium,Grass
5093,2019,3,SUN,9/22/2019 13:00,CIN,BUF,New Era Field,A Turf Titan
5094,2019,3,SUN,9/22/2019 13:00,DEN,GB,Lambeau Field,DD GrassMaster
5095,2019,3,SUN,9/22/2019 13:00,DET,PHI,Lincoln Financial Field,DD GrassMaster
5096,2019,3,SUN,9/22/2019 13:00,MIA,DAL,AT&T Stadium,Hellas Matrix Turf
5097,2019,3,SUN,9/22/2019 13:00,NYJ,NE,Gillette Stadium,FieldTurf
5098,2019,3,SUN,9/22/2019 13:00,OAK,MIN,U.S. Bank Stadium,UBU Speed Series S5M
5099,2019,3,SUN,9/22/2019 16:05,CAR,ARI,State Farm Stadium,Grass
5100,2019,3,SUN,9/22/2019 16:05,NYG,TB,Raymond James Stadium,Grass
5101,2019,3,SUN,9/22/2019 16:25,HOU,LAC,Dignity Health Sports Park,Grass
5102,2019,3,SUN,9/22/2019 16:25,NO,SEA,CenturyLink Field,FieldTurf
5103,2019,3,SUN,9/22/2019 16:25,PIT,SF,Levi's Stadium,Grass
5104,2019,3,SN,9/22/2019 20:20,LA,CLE,FirstEnergy Stadium,Grass
5105,2019,3,MN,9/23/2019 20:15,CHI,WAS,FedExField,Grass
5106,2019,4,THU,9/26/2019 20:20,PHI,GB,Lambeau Field,DD GrassMaster
5107,2019,4,SUN,9/29/2019 13:00,CAR,HOU,NRG Stadium,Hellas Matrix Turf
5108,2019,4,SUN,9/29/2019 13:00,CLE,BAL,M&T Bank Stadium,Grass
5109,2019,4,SUN,9/29/2019 13:00,KC,DET,Ford Field,FieldTurf
5110,2019,4,SUN,9/29/2019 13:00,LAC,MIA,Hard Rock Stadium,Platinum TE Paspalum
5111,2019,4,SUN,9/29/2019 13:00,NE,BUF,New Era Field,A Turf Titan
5112,2019,4,SUN,9/29/2019 13:00,OAK,IND,Lucas Oil Stadium,Shaw Sports Momentum Pro
5113,2019,4,SUN,9/29/2019 13:00,TEN,ATL,Mercedes-Benz Stadium,FieldTurf
5114,2019,4,SUN,9/29/2019 13:00,WAS,NYG,MetLife Stadium,UBU Speed Series S5M
5115,2019,4,SUN,9/29/2019 16:05,SEA,ARI,State Farm Stadium,Grass
5116,2019,4,SUN,9/29/2019 16:05,TB,LA,Los Angeles Memorial Coliseum,Grass
5117,2019,4,SUN,9/29/2019 16:25,JAC,DEN,Broncos Stadium at Mile High,Grass
5118,2019,4,SUN,9/29/2019 16:25,MIN,CHI,Soldier Field,Grass
5119,2019,4,SN,9/29/2019 20:20,DAL,NO,Mercedes-Benz Superdome,FieldTurf
5120,2019,4,MN,9/30/2019 20:15,CIN,PIT,Heinz Field,Grass
5121,2019,5,THU,10/3/2019 20:20,LA,SEA,CenturyLink Field,FieldTurf
5122,2019,5,SUN,10/6/2019 13:00,ARI,CIN,Paul Brown Stadium,UBU Speed Series S5M
5123,2019,5,SUN,10/6/2019 13:00,ATL,HOU,NRG Stadium,Hellas Matrix Turf
5124,2019,5,SUN,10/6/2019 13:00,BAL,PIT,Heinz Field,Grass
5125,2019,5,SUN,10/6/2019 13:00,BUF,TEN,Nissan Stadium,Grass
5126,2019,5,SUN,10/6/2019 13:00,CHI,OAK,Tottenham Hotspur Stadium,Grass
5127,2019,5,SUN,10/6/2019 13:00,JAC,CAR,Bank of America Stadium,Grass
5128,2019,5,SUN,10/6/2019 13:00,MIN,NYG,MetLife Stadium,UBU Speed Series S5M
5129,2019,5,SUN,10/6/2019 13:00,NE,WAS,FedExField,Grass
5130,2019,5,SUN,10/6/2019 13:00,NYJ,PHI,Lincoln Financial Field,DD GrassMaster
5131,2019,5,SUN,10/6/2019 13:00,TB,NO,Mercedes-Benz Superdome,FieldTurf
5132,2019,5,SUN,10/6/2019 16:05,DEN,LAC,Dignity Health Sports Park,Grass
5133,2019,5,SUN,10/6/2019 16:25,GB,DAL,AT&T Stadium,Hellas Matrix Turf
5134,2019,5,SN,10/6/2019 20:20,IND,KC,Arrowhead Stadium,Grass
5135,2019,5,MN,10/7/2019 20:15,CLE,SF,Levi's Stadium,Grass
5136,2019,6,THU,10/10/2019 20:20,NYG,NE,Gillette Stadium,FieldTurf
5137,2019,6,SUN,10/13/2019 09:30,CAR,TB,Tottenham Hotspur Stadium,Grass
5138,2019,6,SUN,10/13/2019 13:00,CIN,BAL,M&T Bank Stadium,Grass
5139,2019,6,SUN,10/13/2019 13:00,HOU,KC,Arrowhead Stadium,Grass
5140,2019,6,SUN,10/13/2019 13:00,NO,JAC,TIAA Bank Field,Grass
5141,2019,6,SUN,10/13/2019 13:00,PHI,MIN,U.S. Bank Stadium,UBU Speed Series S5M
5142,2019,6,SUN,10/13/2019 13:00,SEA,CLE,FirstEnergy Stadium,Grass
5143,2019,6,SUN,10/13/2019 13:00,WAS,MIA,Hard Rock Stadium,Platinum TE Paspalum
5144,2019,6,SUN,10/13/2019 16:05,ATL,ARI,State Farm Stadium,Grass
5145,2019,6,SUN,10/13/2019 16:05,SF,LA,Los Angeles Memorial Coliseum,Grass
5146,2019,6,SUN,10/13/2019 16:25,DAL,NYJ,MetLife Stadium,UBU Speed Series S5M
5147,2019,6,SUN,10/13/2019 16:25,TEN,DEN,Broncos Stadium at Mile High,Grass
5148,2019,6,SN,10/13/2019 20:20,PIT,LAC,Dignity Health Sports Park,Grass
5149,2019,6,MN,10/14/2019 20:15,DET,GB,Lambeau Field,DD GrassMaster
5150,2019,7,THU,10/17/2019 20:20,KC,DEN,Broncos Stadium at Mile High,Grass
5151,2019,7,SUN,10/20/2019 13:00,ARI,NYG,MetLife Stadium,UBU Speed Series S5M
5152,2019,7,SUN,10/20/2019 13:00,HOU,IND,Lucas Oil Stadium,Shaw Sports Momentum Pro
5153,2019,7,SUN,10/20/2019 13:00,JAC,CIN,Paul Brown Stadium,UBU Speed Series S5M
5154,2019,7,SUN,10/20/2019 13:00,LA,ATL,Mercedes-Benz Stadium,FieldTurf
5155,2019,7,SUN,10/20/2019 13:00,MIA,BUF,New Era Field,A Turf Titan
5156,2019,7,SUN,10/20/2019 13:00,MIN,DET,Ford Field,FieldTurf
5157,2019,7,SUN,10/20/2019 13:00,OAK,GB,Lambeau Field,DD GrassMaster
5158,2019,7,SUN,10/20/2019 13:00,SF,WAS,FedExField,Grass
5159,2019,7,SUN,10/20/2019 16:05,LAC,TEN,Nissan Stadium,Grass
5160,2019,7,SUN,10/20/2019 16:25,BAL,SEA,CenturyLink Field,FieldTurf
5161,2019,7,SUN,10/20/2019 16:25,NO,CHI,Soldier Field,Grass
5162,2019,7,SN,10/20/2019 20:20,PHI,DAL,AT&T Stadium,Hellas Matrix Turf
5163,2019,7,MN,10/21/2019 20:15,NE,NYJ,MetLife Stadium,UBU Speed Series S5M
5164,2019,8,THU,10/24/2019 20:20,WAS,MIN,U.S. Bank Stadium,UBU Speed Series S5M
5165,2019,8,SUN,10/27/2019 13:00,ARI,NO,Mercedes-Benz Superdome,FieldTurf
5166,2019,8,SUN,10/27/2019 13:00,CIN,LA,Wembley Stadium,Grass
5167,2019,8,SUN,10/27/2019 13:00,LAC,CHI,Soldier Field,Grass
5168,2019,8,SUN,10/27/2019 13:00,NYG,DET,Ford Field,FieldTurf
5169,2019,8,SUN,10/27/2019 13:00,NYJ,JAC,TIAA Bank Field,Grass
5170,2019,8,SUN,10/27/2019 13:00,OAK,HOU,NRG Stadium,Hellas Matrix Turf
5171,2019,8,SUN,10/27/2019 13:00,PHI,BUF,New Era Field,A Turf Titan
5172,2019,8,SUN,10/27/2019 13:00,SEA,ATL,Mercedes-Benz Stadium,FieldTurf
5173,2019,8,SUN,10/27/2019 13:00,TB,TEN,Nissan Stadium,Grass
5174,2019,8,SUN,10/27/2019 16:05,CAR,SF,Levi's Stadium,Grass
5175,2019,8,SUN,10/27/2019 16:25,CLE,NE,Gillette Stadium,FieldTurf
5176,2019,8,SUN,10/27/2019 16:25,DEN,IND,Lucas Oil Stadium,Shaw Sports Momentum Pro
5177,2019,8,SN,10/27/2019 20:20,GB,KC,Arrowhead Stadium,Grass
5178,2019,8,MN,10/28/2019 20:15,MIA,PIT,Heinz Field,Grass
