uid,gid,tname,player,posd,poss,snp,percent
137383,5058,GB,BB-3700,RT,RT,64,100
137384,5058,GB,DB-0350,LT,LT,64,100
137385,5058,GB,LT-0150,LG,LG,64,100
137386,5058,GB,BT-1250,RG,RG,64,100
137387,5058,GB,CL-0975,C,C,64,100
137388,5058,GB,AR-1300,QB,QB,64,100
137389,5058,GB,DA-0212,LWR,WR,62,97
137390,5058,GB,MV-0012,RWR,WR,42,66
137391,5058,GB,AJ-1143,RB,RB,38,59
137392,5058,GB,JG-2900,TE,,35,55
137393,5058,GB,ML-1500,TE,TE,34,53
137394,5058,GB,GA-0250,RWR,,32,50
137395,5058,GB,JW-3650,RB,,26,41
137396,5058,GB,RT-1250,TE,,20,31
137397,5058,GB,TD-0737,LWR,,19,30
137398,5058,GB,DV-0550,FB,FB,11,17
137399,5058,GB,JK-2250,LWR,,1,2
137400,5058,GB,AA-0543,FS,S,73,100
137401,5058,GB,DS-0712,SS,S,73,100
137402,5058,GB,BM-0345,LILB,ILB,73,100
137403,5058,GB,TW-2700,RCB,CB,73,100
137404,5058,GB,JA-0475,LCB,CB,73,100
137405,5058,GB,PS-0550,LOLB,OLB,72,99
137406,5058,GB,ZS-0075,ROLB,OLB,67,92
137407,5058,GB,RG-1818,FS,S,56,77
137408,5058,GB,KC-1225,NT,NT,56,77
137409,5058,GB,DL-2325,DE,DE,47,64
137410,5058,GB,KK-0750,RCB,,42,58
137411,5058,GB,TB-3150,LCB,,27,37
137412,5058,GB,KF-0050,LOLB,,23,32
137413,5058,GB,MA-0275,DE,DE,22,30
137414,5058,GB,TL-0275,NT,,14,19
137415,5058,GB,RG-0450,ROLB,,6,8
137416,5058,GB,JJ-0525,LCB,,3,4
137417,5058,GB,FB-0650,DE,,3,4
137418,5058,CHI,BM-0360,RT,RT,73,100
137419,5058,CHI,KL-1350,RG,RG,73,100
137420,5058,CHI,CL-0862,LT,LT,73,100
137421,5058,CHI,CW-1875,LG,LG,73,100
137422,5058,CHI,JD-0075,C,C,73,100
137423,5058,CHI,MT-1800,QB,QB,73,100
137424,5058,CHI,AR-1250,LWR,,70,96
137425,5058,CHI,TG-0025,RWR,,67,92
137426,5058,CHI,TC-1975,RB,RB,51,70
137427,5058,CHI,MD-0150,RB,RB,41,56
137428,5058,CHI,AS-0775,TE,TE,34,47
137429,5058,CHI,DM-2787,RB,RB,28,38
137430,5058,CHI,JW-5475,LWR,,21,29
137431,5058,CHI,CP-0750,RWR,,20,27
137432,5058,CHI,AM-1975,SWR,,16,22
137433,5058,CHI,BB-2712,TE,,10,14
137434,5058,CHI,BS-3050,TE,TE,7,10
137435,5058,CHI,KF-0500,LCB,CB,64,100
137436,5058,CHI,DT-1950,LILB,ILB,64,100
137437,5058,CHI,PA-0300,RCB,CB,64,100
137438,5058,CHI,EJ-0125,S,S,64,100
137439,5058,CHI,RS-2250,RILB,ILB,63,98
137440,5058,CHI,HC-0050,S,S,60,94
137441,5058,CHI,KM-0050,LOLB,OLB,58,91
137442,5058,CHI,LF-0450,ROLB,OLB,55,86
137443,5058,CHI,AH-3050,DT,DT,50,78
137444,5058,CHI,EG-0350,NT,NT,33,52
137445,5058,CHI,BS-2300,LCB,,32,50
137446,5058,CHI,BN-0450,DE,DE,32,50
137447,5058,CHI,RR-0850,DT,,26,41
137448,5058,CHI,NW-0400,NT,,14,22
137449,5058,CHI,AL-1200,ROLB,,8,13
137450,5058,CHI,II-0400,LOLB,,7,11
137451,5058,CHI,DB-5950,S,,5,8
137452,5058,CHI,DS-1780,LCB,,3,5
137453,5058,CHI,SM-2300,S,,2,3
137454,5059,ATL,MR-2500,QB,QB,78,100
137455,5059,ATL,AM-0100,C,C,78,100
137456,5059,ATL,JC-1000,LG,LG,78,100
137457,5059,ATL,JM-1450,LT,LT,78,100
137458,5059,ATL,MS-0150,RWR,,66,85
137459,5059,ATL,AH-3650,TE,TE,62,79
137460,5059,ATL,CR-0862,LWR,WR,61,78
137461,5059,ATL,JJ-4700,LWR,WR,53,68
137462,5059,ATL,CL-0962,RG,RG,48,62
137463,5059,ATL,KM-1137,RT,RT,45,58
137464,5059,ATL,IS-0250,RB,,39,50
137465,5059,ATL,DF-1875,RB,RB,39,50
137466,5059,ATL,TS-0150,LT,,35,45
137467,5059,ATL,WS-0275,C,,30,38
137468,5059,ATL,JH-1350,RWR,,22,28
137469,5059,ATL,LS-1900,TE,TE,22,28
