tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd,saf,blk,fp,back0p,back0py,back1p,back1py,back1r,back1ry,back2p,back2py,back2r,back2ry,back3r,back3ry,box4p,box4py,box5p,box5py,box6p,box6py,box6r,box6ry,box7p,box7py,box7r,box7ry,box8r,box8ry,pap,papy,npr,npry,qbp,qbpy,qbhi,qbhiy,qbhu,qbhuy,scrm,scrmy,ttscrm,ttpr,ttsk,pru3,pru3y,pru4,pru4y,pru5,pru5y,pru6,pru6y,blz0p,blz0py,blz1,blz1y,blz2,blz2y,dblz1,dblz1y,spru1,spru1y,oopdes,oopdesy,ooppr,ooppry,oopcl,oopcly,ytg1,ytg2,ytg3,pc1,pc2,pc3,tay1,tay2,tay3,dot1,dot2,dot3,yac1,yac2,yac3,cov0,cov0y,cov1,cov1y,cov2,cov2y,drp
10115,5058,GB,10,0,7,0,3,1,10,2,47,22,166,30,18,5,0,0,9,428,1,1,0,0,1,0,71,31,1,0,1,0,1,1,39,2,1,10,103,5,3,2,0,14,7,5,2,2,-2,8,18,2,15,0,0,3,2,4,13,1,3,12,28,6,9,2,12,1,10,7,21,4,30,10,49,2,0,2,75,3,28,14,88,1,28,10,72,3,15,29,74,12,100,13,82,10,-16,6,8,4,2,0,7,-12,8,24,4,56,0,0,2,18,37,3.5,1,402,13,392,0,6,0,3.5,2.5,6,7,5.5,21.5,4,0,0,8,1,8,0,2,4,1,0,2,1,0,64,73,0,0,14,1,0,30,136,17,45,4,30,3,4,2,-2,1,0,4,16,14,0,3,6,15,141,13,32,4,0,8,79,25,198,11,-22,7,-37,3,0,0,0,0,0,20.4,1,0,25,146,10,30,0,0,26,146,10,30,0,0,2,1,0,0,0,0,0,0,0,0,243,152,111,7,8,3,229,174,113,135,99,65,35,31,20,23,102,10,64,1,0,1
10116,5058,CHI,3,3,0,0,0,3,10,3,46,15,208,45,26,5,1,0,8,341,4,36,0,0,0,0,107,29,0,0,0,0,1,1,38,1,0,0,97,6,3,2,1,17,9,6,2,0,0,3,10,6,25,1,3,4,1,1,7,0,0,6,19,6,19,3,8,3,11,6,26,14,63,14,42,6,76,2,21,2,0,19,126,5,3,2,6,18,93,60,281,20,128,16,60,14,20,11,10,5,10,36,7,6,0,0,23,88,0,0,3,0,20,3,0,272,12,340,0,3,0,8,3.5,6.5,7.5,5.5,11,6,3,1,10,1,4,0,0,7,2,0,2,0,0,73,64,0,0,9,3,32,45,127,10,38,2,49,5,8,0,0,2,9,12,19,29,141,9,35,6,39,4,7,1,1,6,46,29,185,22,26,10,-20,11,1,0,0,0,0,18.8,3,22,37,159,11,37,1,0,33,161,13,53,5,-3,10,39,2,4,0,0,0,0,0,0,305,204,142,12,8,6,304,235,180,160,139,91,35,37,21,23,90,24,118,3,0,2
10117,5059,ATL,12,0,0,0,12,5,16,6,73,17,272,46,33,4,2,1,4,130,4,46,2,44,0,0,78,30,2,0,2,0,0,0,0,2,1,40,86,7,3,4,0,24,15,5,4,4,29,4,15,0,0,4,6,0,0,2,7,3,16,9,33,7,28,1,12,2,24,14,86,13,116,12,62,4,40,0,0,2,0,17,88,13,118,10,77,5,21,46,276,25,151,16,83,9,38,11,16,6,7,23,10,31,0,0,0,0,1,-1,5,38,32,0,0,265,10,130,0,2,0,14.5,2,13.5,5,4,1,19,1,1,5,0,5,0,1,1,1,1,2,0,1,78,53,0,0,0,3,8,44,243,13,72,3,21,4,1,0,0,6,49,7,44,26,111,7,38,10,68,7,18,3,17,13,55,30,221,20,51,8,-26,6,0,0,0,0,0,11.1,4,38,38,196,6,50,4,12,41,222,6,50,4,12,5,53,4,38,0,0,0,0,0,0,324,194,85,17,11,3,332,236,97,142,127,56,75,37,8,31,209,18,63,1,0,0
10118,5059,MIN,28,14,7,7,0,10,4,4,172,38,97,10,8,1,0,0,5,247,0,0,1,13,2,0,100,30,4,3,1,0,0,0,0,3,3,102,54,14,5,6,3,7,3,2,2,5,45,4,5,4,4,13,31,2,10,6,35,2,44,15,74,13,76,8,24,4,6,6,52,0,0,2,15,0,0,0,0,1,31,5,80,1,9,1,0,2,9,6,45,6,48,3,28,2,21,1,5,2,5,68,5,38,0,0,0,0,5,44,1,0,1,1,0,337,10,201,0,1,0,7.5,3,3.5,8.5,6,23.5,0,4,3,6,2,10,0,0,1,1,4,5,1,1,53,78,0,1,16,0,0,8,91,21,89,3,6,15,85,2,-2,0,0,4,59,1,9,6,20,3,6,18,111,11,37,5,40,6,69,5,28,3,22,2,0,0,0,0,0,2.7,0,0,4,59,6,38,1,0,4,59,6,38,1,0,2,9,0,0,0,0,0,0,0,0,228,146,76,4,2,2,83,30,26,34,17,12,19,12,9,6,30,5,67,0,0,0
10119,5060,BAL,59,21,21,10,7,10,17,4,265,46,378,26,23,1,0,0,1,56,2,29,1,9,2,14,40,40,8,2,6,0,1,1,34,7,5,163,266,27,17,7,3,20,4,10,6,2,23,3,7,3,8,10,65,8,75,13,52,5,8,26,127,13,69,5,42,5,17,5,38,7,107,10,79,0,0,3,132,1,0,4,51,6,129,15,175,1,1,65,778,7,90,12,155,8,110,6,10,7,10,85,6,140,0,0,0,0,16,60,6,12,1,2,0,379,13,56,0,0,0,4.5,1,5,7,2.5,8,1,5,3,2,1,6,0,0,2,1,0,0,1,0,77,50,0,0,11,3,76,20,298,30,140,3,1,14,127,2,-2,0,0,2,39,9,124,6,79,10,194,19,82,21,104,13,131,19,273,8,105,1,-1,4,31,0,0,0,0,6,1,83,10,106,13,183,3,6,10,183,15,190,2,5,3,34,3,50,0,0,0,0,0,0,313,164,47,5,11,6,87,239,157,30,147,82,61,47,52,13,116,13,262,1,0,1
10120,5060,MIA,10,0,10,0,0,1,10,1,21,12,179,32,15,3,2,1,6,322,1,0,3,59,0,0,64,20,1,0,1,0,1,1,54,1,1,0,97,4,3,1,0,13,5,5,3,2,5,1,-1,2,4,3,14,0,0,1,1,3,-2,8,14,4,7,0,0,1,8,11,89,4,16,7,14,5,22,2,49,3,0,14,85,8,46,6,31,4,28,26,75,12,40,13,104,10,35,4,8,3,4,-6,10,57,0,0,0,0,0,0,2,17,11,0.5,0,226,10,293,0,2,0,15.5,0.5,8.5,3,16,14.5,3,0,0,8,2,6,0,1,3,1,1,5,0,0,50,77,0,0,-3,4,5,29,174,11,21,2,0,1,0,0,0,2,5,6,7,14,154,5,18,12,13,7,3,0,0,10,91,17,132,18,47,12,6,8,34,0,0,0,0,12.3,0,0,21,118,12,64,3,5,20,69,11,101,5,17,8,76,3,12,0,0,0,0,0,0,196,161,107,5,6,4,185,309,181,93,210,123,10,35,4,15,69,16,61,4,49,0
10121,5061,BUF,17,0,0,3,14,8,11,4,128,25,242,37,24,1,2,2,3,130,1,10,0,0,0,0,55,28,2,1,1,0,1,1,43,1,1,70,115,12,4,6,2,21,13,5,3,5,42,3,30,2,-1,6,27,4,6,1,15,3,10,10,38,8,68,6,23,9,39,12,90,5,33,11,44,2,38,1,0,5,49,24,181,0,0,4,36,8,37,45,333,20,116,13,50,5,76,7,13,4,5,20,13,53,4,13,7,77,2,18,0,0,12,0,1,275,12,90,2,0,0,6,4.5,5.5,7.5,8.5,17,6,4,2,5,1,5,0,2,0,1,1,1,2,0,69,72,0,0,10,9,87,28,144,20,115,1,11,2,2,1,-1,1,0,10,43,19,167,8,44,8,32,8,49,8,28,0,0,26,146,13,104,8,62,4,0,0,0,0,0,3,4,12,24,143,10,84,3,22,26,144,10,84,3,22,6,48,4,28,0,0,0,0,0,0,308,151,60,14,7,3,274,208,113,104,102,74,48,27,26,22,128,15,114,1,0,4
10122,5061,NYJ,16,6,0,10,0,3,12,2,68,21,155,41,28,4,0,1,7,304,0,0,1,10,2,21,67,32,2,0,1,1,0,1,0,1,1,22,0,11,7,3,1,19,8,4,7,3,9,0,0,4,11,8,21,1,-1,4,24,1,4,10,40,10,27,1,1,1,0,21,115,5,11,11,61,1,0,0,0,3,0,27,130,1,15,4,10,9,32,56,267,16,81,11,34,18,52,11,15,2,5,23,5,16,3,4,13,38,1,4,3,26,20,1,0,312,11,294,0,5,0,4,0.5,9,7,9,16.5,9,4,3,10,3,7,8,0,4,0,1,3,2,1,72,69,1,0,18,8,45,33,119,17,63,4,3,4,5,0,0,2,13,3,17,30,132,10,36,9,-1,8,34,2,-1,6,9,27,129,18,38,8,-13,7,19,0,0,0,0,15.8,4,26,26,112,11,29,4,0,28,126,13,41,4,0,9,34,2,3,0,0,0,0,0,0,266,171,122,12,6,10,213,107,176,108,38,77,46,16,56,32,126,8,32,5,9,2
10123,5062,KC,40,17,6,7,10,9,13,2,113,26,378,34,25,0,0,0,1,51,1,0,2,45,1,5,55,31,4,1,3,0,4,4,134,6,2,63,243,15,7,5,3,20,11,7,2,5,47,0,0,0,0,17,57,0,0,0,0,3,10,14,75,8,30,3,9,1,2,12,44,3,71,13,102,0,0,2,21,4,132,13,206,3,0,9,95,9,69,41,359,15,227,11,71,8,72,8,9,8,4,19,9,203,0,0,0,0,7,21,11,28,0,1,0,384,10,31,1,0,0,3,1,8,9,5,15,1,4,4,5,0,7,0,0,2,2,1,1,2,1,68,58,0,0,5,6,96,28,282,21,99,0,0,4,15,1,-1,5,29,6,60,13,151,12,33,7,127,7,22,5,27,15,216,26,233,8,145,4,35,3,30,0,0,0,0,0,1,9,28,282,3,46,2,41,28,286,4,51,2,41,4,77,0,0,0,0,0,0,0,0,284,108,62,13,8,4,214,118,105,105,44,33,138,44,79,25,248,8,130,1,0,2
10124,5062,JAC,26,7,6,0,13,3,13,2,81,16,347,33,27,1,1,1,2,96,0,0,2,38,0,0,71,29,3,0,3,0,2,2,60,3,1,36,201,7,5,1,1,18,8,6,4,2,11,0,0,0,0,11,56,0,0,0,0,3,14,9,42,5,15,2,24,1,6,12,80,7,55,8,18,0,0,3,97,3,91,6,30,11,234,9,49,7,28,35,335,14,152,12,84,8,102,8,11,8,5,21,9,83,0,0,0,0,1,6,4,25,3,0,0,238,10,96,0,0,0,9,3,6,5,9,14,6,2,1,5,2,2,0,0,5,0,3,3,1,1,58,68,0,0,-4,1,10,32,268,13,65,1,69,3,16,0,0,4,30,6,57,15,145,4,30,9,115,5,23,3,6,6,82,24,200,11,153,3,67,3,71,0,0,0,0,3,1,7,28,176,3,66,3,104,28,177,2,55,4,115,4,124,1,35,0,0,0,0,0,0,256,160,90,10,10,7,183,116,169,89,28,111,74,52,15,19,133,14,214,1,0,3
